id,unified_name,preliminary_type,Year,TWDB Estimated?, Population Served , Single Family Volumes , Single Family Connections , Multi-Family Volumes , Multi-Family Connections , Commercial Volume , Commercial Connections , Industrial Volumes , Industrial Connections , Institutional Volume , Institutional Connections , Agricultural Volumes , Agricultural Connections , Total Metered Volume , Total Metered Connections , Total Un-metered Volume , Total Un-metered Connections ,TCEQ PWS Code,Wholesale System?,Water Use Survey Form Type,PWS System Class
779400,CITY OF SEADRIFT,water system,2022.0,N," 1,570 "," 25,000,000 ", 876 ," 12,500,000 ", 33 ," 10,200,000 ", 25 ,,," 1,100,000 ", 16 ,,," 48,800,000 ", 950 , 29 , 1 ,TX0290004,N,Municipal Long,Municipal
783200,BOIS D ARC MUD,water system,2022.0,N," 3,071 "," 69,529,300 "," 1,452 ",,,,,,," 804,000 ", 46 ,,," 70,333,300 "," 1,498 "," 21,350,000 ",,TX0740044,N,Municipal Long,District 
788200,CITY OF SEYMOUR,water system,2022.0,N," 2,584 "," 80,164,500 "," 1,054 "," 5,931,200 ", 11 ," 16,226,100 ", 196 ,,," 4,160,100 ", 32 ,,," 106,481,900 "," 1,293 "," 5,000,000 ", 25 ,TX0120001,N,Municipal Long,Municipal
789000,SHAMROCK MUNICIPAL WATER SYSTEM,water system,2022.0,N," 2,311 "," 95,257,692 "," 1,110 "," 1,806,700 ", 3 ," 24,534,700 ", 142 ," 3,869,865 ", 15 ," 4,993,016 ", 24 ," 2,579,893 ", 10 ," 133,041,866 "," 1,304 "," 1,631,000 ", 5 ,TX2420001,N,Municipal Long,Municipal
790815,SHARYLAND WSC,water system,2022.0,N," 62,109 "," 2,758,087,381 "," 18,944 "," 727,958 ", 5 ," 242,701,207 "," 1,667 ",,," 12,666,469 ", 87 ,,," 3,014,183,015 "," 20,703 "," 5,638,096 ",,TX1080033,N,Municipal Long,Water Supply Corporation
790830,SHARON WSC,water system,2022.0,N," 8,628 "," 145,259,000 "," 2,907 ",,," 7,238,200 ", 95 ," 1,080,600 ", 3 ,,,,," 153,577,800 "," 3,005 ",,,TX2500020,N,Municipal Long,Water Supply Corporation
793800,CITY OF SHINER,water system,2022.0,N," 2,069 "," 95,591,200 "," 1,104 ",,," 13,023,900 ", 130 ," 72,282,900 ", 7 ," 4,630,300 ", 7 ,,," 185,528,300 "," 1,248 "," 14,250,000 ", 6 ,TX1430003,N,Municipal Long,Municipal
795400,HUDSPETH COUNTY WCID 1,water system,2022.0,N, 770 ," 43,760,000 ", 293 ,,," 18,600 ", 70 ,,,,,,," 43,778,600 ", 363 ,,,TX1150007,N,Municipal Long,District 
795800,ADOBE ESTATES MHP,water system,,,,,,,,,,,,,,,,,,,,TX1910003,N,Municipal Short,Mobile Home Park
796200,CITY OF SILSBEE,water system,2022.0,N," 10,074 "," 150,965,500 "," 2,918 "," 93,200 ", 6 ," 68,805,400 ", 426 ," 6,667,400 ", 8 ,,,,," 226,531,500 "," 3,358 "," 1,607,400 ",,TX1000002,N,Municipal Long,Municipal
798600,CITY OF SINTON,water system,2022.0,N," 5,723 "," 271,047,100 "," 2,293 ",,,,,,,,,,," 271,047,100 "," 2,293 ",,,TX2050006,N,Municipal Long,Municipal
802100,EAST TEXAS MUD OF SMITH COUNTY,water system,2022.0,N," 2,661 "," 44,638,950 ", 773 ," 1,067,070 ", 2 ," 10,524,710 ", 83 ," 53,783,920 ", 23 ," 59,222,900 ", 14 ,,," 169,237,550 ", 895 ,,,TX2120005,N,Municipal Long,District 
805080,CITY OF SOMERVILLE,water system,2022.0,N," 1,300 "," 40,408,450 ", 652 ,,," 9,761,560 ", 100 ,,," 7,656,820 ", 12 ,,," 57,826,830 ", 764 ,,,TX0260002,N,Municipal Long,Municipal
805800,CITY OF SONORA,water system,2022.0,N," 3,795 "," 108,621,100 "," 1,334 "," 99,286,000 ", 8 ," 32,924,392 ", 176 ,,,,,,," 240,831,492 "," 1,518 "," 40,500 ", 1 ,TX2180001,N,Municipal Long,Municipal
806620,SOUTHEAST WSC SYSTEM 1,water system,2022.0,N," 2,553 "," 43,667,040 ", 851 ,,,,,,," 356,000 ", 8 ," 952,300 ", 3 ," 44,975,340 ", 862 ," 10,050,300 ", 112 ,TX1450027,N,Municipal Long,Water Supply Corporation
806622,SOUTHEAST WSC SYSTEM 3,water system,2022.0,N, 408 ," 7,820,710 ", 136 ,,," 144,000 ", 1 ,,," 568,360 ", 2 ," 50,860 ", 1 ," 8,583,930 ", 140 ," 425,800 ", 16 ,TX1450029,N,Municipal Long,Water Supply Corporation
806623,SOUTHEAST WSC SYSTEM 4,water system,2022.0,N, 360 ," 7,489,180 ", 120 ,,," 192,980 ", 2 ,,," 15,380 ", 1 ," 326,700 ", 1 ," 8,024,240 ", 124 ," 754,200 ", 21 ,TX1450031,N,Municipal Long,Water Supply Corporation
806826,CYPRESS SPRINGS SUD SOUTH PLANT,water system,2022.0,N," 3,057 "," 49,476,101 ", 881 ,,," 1,767,300 ", 19 ," 204,700 ", 2 ," 53,500 ", 3 ,,," 51,501,601 ", 905 ," 5,125,642 ",,TX0800016,N,Municipal Long,District 
806828,CYPRESS SPRINGS SUD N PLANT 1 AND NE PLA,water system,2022.0,N," 12,309 "," 203,169,567 "," 3,937 ",,," 59,411,960 ", 145 ," 4,060,290 ", 6 ," 1,081,800 ", 15 ,,," 267,723,617 "," 4,103 "," 19,104,165 ",,TX0800003,N,Municipal Long,District 
807310,SOUTHERN UTILITIES,water system,2022.0,N," 65,196 "," 2,065,377,000 "," 21,732 ",,,,," 165,190,000 ", 29 ,,,,," 2,230,567,000 "," 21,761 "," 1,014,521,000 ",,TX2120063,N,Municipal Long,Private/IOU
808290,SOUTH RAINS SUD,water system,2022.0,N," 3,549 "," 76,446,000 "," 1,173 ",,," 241,000 ", 4 ," 345,000 ", 3 ,,," 2,442,000 ", 3 ," 79,474,000 "," 1,183 ",,,TX1900009,N,Municipal Long,Water Supply Corporation
819850,CITY OF SPLENDORA,water system,2022.0,N," 7,000 "," 157,894,500 "," 2,975 "," 6,396,900 ", 6 ," 29,135,200 ", 171 ,,,,,,," 193,426,600 "," 3,152 "," 780,000 ", 65 ,TX1700087,N,Municipal Long,Municipal
820180,CITY OF SPRINGTOWN,water system,2022.0,N," 3,310 "," 69,572,000 "," 1,284 "," 3,441,000 ", 10 ," 22,397,000 ", 211 ,,," 5,314,000 ", 24 ,,," 100,724,000 "," 1,529 "," 2,000,000 ", 20 ,TX1840003,N,Municipal Long,Municipal
824200,CITY OF STEPHENVILLE,water system,2022.0,N," 22,028 "," 411,022,055 "," 7,949 "," 139,394,000 ", 207 ," 196,016,937 ", 915 ," 9,030,000 ", 13 ," 74,971,000 ", 54 ,,," 830,433,992 "," 9,138 "," 4,208,420 ",,TX0720002,N,Municipal Long,Municipal
825800,CITY OF STOCKDALE,water system,2022.0,N," 1,720 "," 65,956,566 ", 575 ," 14,015,770 ", 25 ," 24,733,720 ", 123 ,,,,,,," 104,706,056 ", 723 ," 756,000 ",,TX2470003,N,Municipal Long,Municipal
827152,STURDIVANT PROGRESS WSC,water system,2022.0,N," 3,656 "," 67,722,500 "," 1,108 ",,,,,,,,,,," 67,722,500 "," 1,108 ",, 56 ,TX1820011,N,Municipal Long,Water Supply Corporation
829460,SUNBELT FWSD HIGH MEADOWS SUBDIVISION,water system,2022.0,N," 8,802 "," 118,517,000 "," 2,115 "," 47,386,000 ", 708 ," 45,867,000 ", 111 ,,,,,,," 211,770,000 "," 2,934 ",,,TX1010292,N,Municipal Long,District 
830155,TOWN OF SUNNYVALE,water system,2022.0,N," 8,800 "," 598,528,972 "," 2,731 ",,," 127,607,590 ", 303 ,,," 5,611,230 ", 23 ,,," 731,747,792 "," 3,057 "," 38,234,520 ", 1 ,TX0570059,N,Municipal Long,Municipal
841200,CITY OF TAFT,water system,2022.0,N," 3,204 "," 92,805,700 "," 1,647 ",,,,,,,,,,," 92,805,700 "," 1,647 ",,,TX2050007,N,Municipal Long,Municipal
844300,COMBINED CONSUMERS SUD,water system,2022.0,N," 8,985 "," 167,360,062 "," 2,940 ",,," 3,130,885 ", 55 ,,,,,,," 170,490,947 "," 2,995 "," 71,674,255 ",,TX1160052,N,Municipal Long,District 
848400,TEXAS A&M UNIVERSITY MAIN CAMPUS,water system,,,,,,,,,,,,,,,,,,,,TX0210017,N,Municipal Short,Institutions/Facilities
849200,CITY OF TEXAS CITY,water system,2022.0,N," 54,247 "," 928,591,000 "," 16,763 "," 257,938,000 ", 169 ," 203,871,000 "," 1,111 "," 349,733,000 ", 67 ," 160,077,000 ", 216 ," 1,082,000 ", 33 ," 1,901,292,000 "," 18,359 ",,,TX0840008,N,Municipal Long,Municipal
862000,TEXLINE MUNICIPAL WATER SYSTEM,water system,2022.0,N, 512 ," 24,567,500 ", 226 ," 2,962,400 ", 2 ," 8,794,800 ", 18 ," 5,340,100 ", 6 ," 4,089,100 ", 1 ," 1,088,000 ", 8 ," 46,841,900 ", 261 ," 8,669,355 ", 52 ,TX0560002,N,Municipal Long,Municipal
862125,TEXLAND GREAT PLAINS WATER SUPPLY,water system,,,,,,,,,,,,,,,,,,,,TX0830023,Y,Municipal Short,Private/IOU
865000,CITY OF THORNDALE,water system,2022.0,N," 1,400 "," 29,546,000 ", 538 ," 764,000 ", 23 ," 1,796,000 ", 39 ,,," 9,825,000 ", 50 ,,," 41,931,000 ", 650 ,,,TX1660003,N,Municipal Long,Municipal
870400,CITY OF TOMBALL,water system,2022.0,N," 15,000 "," 417,599,000 "," 4,116 "," 75,675,000 ", 104 ," 378,457,000 "," 1,217 "," 1,090,000 ", 1 ," 8,772,000 ", 72 ,,," 881,593,000 "," 5,510 ",,,TX1010026,N,Municipal Long,Municipal
872795,TRI SUD,water system,2022.0,N," 18,235 "," 341,210,010 "," 6,138 "," 12,026,840 ", 54 ," 4,448,130 ", 41 ," 20,832,880 ", 33 ," 9,115,730 ", 84 ," 7,389,820 ", 34 ," 395,023,410 "," 6,384 "," 6,000,912 ", 75 ,TX2250004,N,Municipal Long,District 
873001,TRI COUNTY SUD,water system,2022.0,N," 4,910 "," 145,453,540 "," 2,135 ",,,,," 477,780 ",,,,,," 145,931,320 "," 2,135 "," 15,099,100 ",,TX0730004,N,Municipal Long,District 
873200,CITY OF TRINIDAD,water system,2022.0,N," 1,482 "," 19,399,700 ", 395 ," 2,925,400 ", 60 ," 1,561,300 ", 28 ," 8,000,000 ", 1 ," 954,300 ", 10 ,,," 32,840,700 ", 494 ," 15,795,000 ", 38 ,TX1070004,N,Municipal Long,Municipal
875600,CITY OF TROUP,water system,2022.0,N," 2,200 "," 37,852,681 "," 1,116 "," 2,151,440 ", 4 ," 4,818,581 ", 135 ,,," 14,055,538 ", 33 ,,," 58,878,240 "," 1,288 "," 2,150,414 ", 29 ,TX2120003,N,Municipal Long,Municipal
876400,CITY OF TROY,water system,2022.0,N," 3,432 "," 77,542,900 "," 1,039 "," 10,457,860 ", 231 ," 11,300,700 ", 52 ," 1,040,200 ", 4 ," 10,833,000 ", 17 ," 154,700 ", 1 ," 111,329,360 "," 1,344 "," 1,907,000 ", 250 ,TX0140037,N,Municipal Long,Municipal
884995,U & F WSC,water system,2022.0,N, 540 ," 16,618,080 ", 247 ," 514,590 ", 6 ," 962,140 ", 33 ," 135,990 ", 1 ," 89,890 ", 4 ," 1,877,800 ", 33 ," 20,198,490 ", 324 ,,,TX2080002,N,Municipal Long,Water Supply Corporation
889525,PANTHER JUNCTION PLT,water system,,,,,,,,,,,,,,,,,,,,TX0220020,N,Municipal Short,Federal
896275,VALLEY WSC,water system,2022.0,N, 240 ," 5,025,743 ", 89 ,,,,,,,,,,," 5,025,743 ", 89 ," 4,000,000 ", 1 ,TX0630013,N,Municipal Long,Water Supply Corporation
902400,CITY OF VICTORIA,water system,2022.0,N," 64,742 "," 1,679,628,000 "," 20,614 "," 416,190,000 "," 7,392 "," 577,428,000 "," 2,112 "," 22,001,000 ", 1 ," 84,513,000 ", 192 ," 96,160,000 ", 313 ," 2,875,920,000 "," 30,624 "," 1,211,163,347 ",,TX2350002,N,Municipal Long,Municipal
903050,QUAIL CREEK MUD,water system,2022.0,Y," 1,950 "," 41,925,750 ", 598 ,,," 16,759,110 ", 51 ,,," 988,500 ", 1 ,,," 59,673,360 ", 650 ," 2,093,650 ", 1 ,TX2350004,N,Municipal Long,District 
912000,CITY OF WAELDER,water system,2022.0,Y," 1,065 ",, 418 ,, 45 ,, 106 ,,,,,,,, 569 ,,,TX0890003,N,Municipal Long,Municipal
916800,CITY OF WALLIS,water system,2022.0,N," 1,121 ",,,,,,,,,,,,,,,,,TX0080015,N,Municipal Long,Municipal
919200,CITY OF WASKOM,water system,2022.0,N," 3,129 "," 46,973,100 ", 926 ," 2,147,900 ", 14 ," 11,991,000 ", 103 ,,,,,,," 61,112,000 "," 1,043 ",,,TX1020003,N,Municipal Long,Municipal
922000,CITY OF WEBSTER,water system,2022.0,N," 12,499 "," 63,526,000 ", 981 ," 201,817,000 "," 4,427 "," 341,453,000 "," 1,342 "," 688,000 ", 1 ,, 44 ," 6,642,000 ", 70 ," 614,126,000 "," 6,865 "," 6,442,000 "," 1,117 ",TX1010226,N,Municipal Long,Municipal
922400,CITY OF WEIMAR,water system,2022.0,N," 2,226 "," 67,499,500 ", 884 ," 1,674,700 ", 66 ," 29,550,000 ", 153 ," 24,765,700 ", 5 ," 5,728,800 ", 42 ,,," 129,218,700 "," 1,150 "," 2,700,000 ",,TX0450004,N,Municipal Long,Municipal
929303,WEST HARRIS COUNTY MUD 5,water system,2022.0,N," 2,415 "," 34,899,000 ", 425 ," 10,382,000 ", 328 ," 33,515,000 ", 31 ,,,,," 11,926,000 ", 21 ," 90,722,000 ", 805 ," 1,155,000 ",,TX1013356,N,Municipal Long,District 
929410,WEST HARRIS COUNTY MUD 10,water system,2022.0,N," 6,858 "," 176,121,000 "," 2,212 ",,," 8,262,000 ", 9 ,,," 7,361,000 ", 11 ," 6,727,000 ", 35 ," 198,471,000 "," 2,267 "," 9,000 ", 55 ,TX1012068,N,Municipal Long,District 
931832,WEST HARDIN WSC,water system,2022.0,N," 4,473 "," 146,955,901 "," 1,686 ",,," 702,200 ", 6 ," 77,000 ", 1 ," 2,072,900 ", 3 ,,," 149,808,001 "," 1,696 "," 4,751,999 ", 188 ,TX1000055,N,Municipal Long,Water Supply Corporation
931900,WEST JACKSONVILLE WSC,water system,2022.0,N," 1,761 "," 35,015,024 ", 580 ,,," 266,918 ", 7 ,,,,,,," 35,281,942 ", 587 ," 1,200,000 ",,TX0370036,N,Municipal Long,Water Supply Corporation
932010,TRAVIS COUNTY WCID 10,water system,2022.0,N," 7,872 "," 658,921,000 "," 2,718 ",,," 139,667,000 ", 272 ,,," 23,470,000 ", 76 ,,," 822,058,000 "," 3,066 ",,,TX2270182,N,Municipal Long,District 
932195,WEST MEMORIAL MUD,water system,2022.0,N," 4,200 "," 108,321,000 "," 1,283 ",,," 38,320,000 ", 110 ,,,,," 9,733,000 ", 48 ," 156,374,000 "," 1,441 "," 6,710,800 ", 1 ,TX1010540,N,Municipal Long,District 
937660,WEST WISE SUD,water system,2022.0,N," 3,533 "," 72,943,300 "," 1,073 "," 1,229,200 ", 2 ," 19,713,200 ", 105 ,,,, 1 ,,," 93,885,700 "," 1,181 ",,,TX2490016,N,Municipal Long,District 
938400,CITY OF WHARTON,water system,2022.0,N," 8,756 "," 162,012,900 "," 2,645 "," 50,232,700 ", 49 ," 59,713,400 ", 385 ," 46,194,600 ", 11 ," 29,337,400 ", 117 ," 10,320,700 ", 57 ," 357,811,700 "," 3,264 "," 2,520,000 ",,TX2410005,N,Municipal Long,Municipal
940000,WHITE DEER MUNICIPAL WATER SYSTEM,water system,2022.0,N," 1,000 "," 40,371,000 ", 485 ,,," 1,165,000 ", 27 ," 650,000 ", 23 ,,," 9,000 ", 3 ," 42,195,000 ", 538 ," 450,000 ", 2 ,TX0330003,N,Municipal Long,Municipal
941855,WHITE OAK BEND MUD,water system,2022.0,N," 2,550 "," 33,693,000 ", 558 ," 13,745,000 ", 204 ," 38,085,000 ", 85 ,,," 1,706,000 ", 3 ,,," 87,229,000 ", 850 ,,,TX1011238,N,Municipal Long,District 
941900,WHITE OAK VALLEY ESTATES,water system,2022.0,N, 750 ," 11,731,000 ", 247 ,,,,,,,,,,," 11,731,000 ", 247 ," 1,659,000 ",,TX1700036,N,Municipal Long,Private/IOU
941955,CITY OF WHITE OAK,water system,2022.0,N," 6,469 "," 186,215,000 "," 2,310 "," 10,791,000 ", 16 ," 60,387,000 ", 273 ," 22,477,000 ", 1 ,,,,," 279,870,000 "," 2,600 "," 10,700,000 ",,TX0920006,N,Municipal Long,Municipal
948800,CITY OF WILLIS,water system,2022.0,N," 6,410 "," 146,374,500 "," 2,226 "," 25,701,300 ", 18 ," 81,366,700 ", 363 ,,,,,,," 253,442,500 "," 2,607 "," 2,800,000 ", 51 ,TX1700003,N,Municipal Long,Municipal
952200,WINKLER WSC,water system,2022.0,N," 1,075 "," 23,233,350 ", 450 ,,," 70,540 ", 2 ," 1,076,500 ", 2 ,,,,," 24,380,390 ", 454 ," 2,154,188 ", 26 ,TX1750023,N,Municipal Long,Water Supply Corporation
952800,CITY OF WINNSBORO,water system,2022.0,N," 3,434 "," 77,083,300 "," 1,344 ",,," 9,751,400 ", 295 ," 60,458,200 ", 1 ," 31,052,800 ", 15 ,,," 178,345,700 "," 1,655 "," 1,350,000 ", 200 ,TX2500004,N,Municipal Long,Municipal
954525,CITY OF WOOD BRANCH VILLAGE,water system,2022.0,N," 1,533 "," 28,438,000 ", 507 ,,," 7,613,000 ", 3 ," 1,960,000 ", 1 ,,,,," 38,011,000 ", 511 ," 102,000 ",,TX1700304,N,Municipal Long,Municipal
957320,CITY OF WOODWAY,water system,2022.0,N," 9,383 "," 652,396,484 "," 3,879 ",,," 114,593,971 ", 397 ," 2,627,300 ", 1 ," 16,339,385 ", 33 ,,," 785,957,140 "," 4,310 "," 74,000,000 ", 475 ,TX1550048,N,Municipal Long,Municipal
957500,WRIGHT CITY WSC 1,water system,2022.0,N," 1,350 "," 32,162,480 ", 450 ,,,,,,,,,,," 32,162,480 ", 450 ,,,TX2120027,N,Municipal Long,Water Supply Corporation
958550,YANCEY WSC,water system,2022.0,N," 11,937 "," 430,894,465 "," 3,936 ",,," 4,123,730 ", 24 ,,," 3,309,453 ", 19 ,,," 438,327,648 "," 3,979 "," 162,214,222 ",,TX1630021,N,Municipal Long,Water Supply Corporation
967600,CITY OF YOAKUM,water system,2022.0,N," 5,815 "," 155,077,272 "," 2,283 "," 14,865,772 ", 203 ," 28,176,718 ", 264 ," 58,541,896 ", 3 ," 18,331,466 ", 49 ,,," 274,993,124 "," 2,802 "," 121,662,727 ", 48 ,TX0620003,N,Municipal Long,Municipal
1102089,SONTERRA MUD,water system,2022.0,N," 13,905 "," 149,330,000 "," 4,745 "," 6,067,000 ", 274 ," 9,933,000 ", 22 ,,," 821,000 ", 1 ," 19,462,000 ", 59 ," 185,613,000 "," 5,101 ",,,TX2460157,N,Municipal Long,District 
1102416,GREATER GARDENDALE WSC,water system,2022.0,N," 2,706 "," 54,070,484 ", 860 ,,," 21,699,194 ", 35 ,,," 259,070 ", 7 ,,," 76,028,748 ", 902 ," 3,268,400 ", 28 ,TX0680214,N,Municipal Long,District 
1102798,FORT BEND COUNTY MUD 185,water system,2022.0,N," 3,909 "," 100,371,000 ", 817 ," 15,067,000 ", 386 ," 49,432,100 ", 100 ,,,,,,," 164,870,100 "," 1,303 "," 6,142,900 ",,TX0790478,N,Municipal Long,District 
1102818,DENTON COUNTY FWSD 7 LANTANA,water system,2022.0,N," 13,325 "," 663,260,000 "," 4,100 ",,," 27,727,000 ", 24 ,,," 14,249,000 ", 33 ," 50,955,000 ", 78 ," 756,191,000 "," 4,235 ",,,TX0610228,N,Municipal Long,District 
1102831,BITTER CREEK WSC SOUTH,water system,2022.0,N," 2,517 "," 46,494,328 ", 800 ,,," 2,620,929 ", 39 ," 10,863,579 ", 2 ,,," 8,464,094 ", 146 ," 68,442,930 ", 987 ," 2,971,800 ", 71 ,TX1770007,N,Municipal Long,Water Supply Corporation
1102848,CEDAR CREEK WATER SYSTEM,water system,2022.0,N," 3,963 "," 84,953,000 "," 1,459 ",,," 4,348,000 ", 26 ," 2,017,000 ", 5 ," 5,831,000 ", 15 ,,," 97,149,000 "," 1,505 ",,,TX1090012,N,Municipal Long,Private/IOU
1102858,LOVING COUNTY WATER SYSTEM,water system,2022.0,Y, 75 ,, 47 ,, 2 ,, 9 ,, 5 ,, 17 ,, 1 ,, 81 ,, 1 ,TX1510001,N,Municipal Long,Municipal
1103427,THE CONSOLIDATED WSC CENTRAL SYSTEM,water system,2022.0,N," 4,506 "," 205,747,608 "," 1,479 ",,," 5,584,527 ", 22 ," 7,113,939 ", 4 ,,," 587,489 ", 19 ," 219,033,563 "," 1,524 "," 1,272,374 ", 85 ,TX1130031,N,Municipal Long,Water Supply Corporation
1103473,JACOBS WSC PLANTS 1 & 2,water system,2022.0,N," 1,325 "," 20,828,290 ", 265 ,,,,," 502,120 ", 2 ," 97,590 ", 3 ,,," 21,428,000 ", 270 ,,,TX2010017,N,Municipal Long,Water Supply Corporation
1103521,TX AIRSTREAM HARBOR WATER,water system,,,,,,,,,,,,,,,,,,,,TX0030053,N,Municipal Short,Private/IOU
1103536,PARKER COUNTY SUD SURFACE,water system,2022.0,N," 6,630 "," 152,754,527 "," 1,802 "," 4,149,203 ", 155 ," 3,936,451 ", 24 ," 5,869,052 ", 8 ," 3,978,024 ", 20 ,,," 170,687,257 "," 2,009 "," 13,971,600 ", 62 ,TX1840079,N,Municipal Long,District 
1103537,WALKER COUNTY SUD B CRABBS PRAIRIE,water system,2022.0,N," 3,072 "," 86,636,400 "," 1,023 ",,,,," 26,728,500 ", 1 ," 970,800 ", 3 ,,," 114,335,700 "," 1,027 ",,,TX2360040,N,Municipal Long,District 
1103809,BELLA VISTA,water system,2022.0,N," 2,661 "," 74,493,000 ", 887 ,,,,,,,,,,," 74,493,000 ", 887 ,,,TX1460175,N,Municipal Long,Private/IOU
1104046,FORT BEND COUNTY MUD 134D,water system,2022.0,N," 3,261 "," 102,443,000 ", 897 ," 4,315,000 ", 177 ," 1,850,000 ", 4 ,,," 6,653,000 ", 9 ," 44,705,000 ", 61 ," 159,966,000 "," 1,148 ",,,TX0790562,N,Municipal Long,District 
1104068,MONTGOMERY COUNTY MUD 105,water system,2022.0,N," 3,288 "," 162,323,000 "," 1,105 ",,," 1,391,000 ", 6 ,,," 17,912,000 ", 11 ,,," 181,626,000 "," 1,122 "," 38,499,575 ", 18 ,TX1700837,N,Municipal Long,District 
1104230,HARRIS COUNTY MUD 319,water system,2022.0,N," 5,037 "," 124,971,000 "," 1,648 ",,," 1,587,000 ", 2 ,,," 43,743,000 ", 29 ,,," 170,301,000 "," 1,679 ",,,TX1013563,N,Municipal Long,District 
1104527,PATRIOT RV PARK BURNET,water system,,,,,,,,,,,,,,,,,,,,TX0270088,N,Municipal Short,Mobile Home Park
1104646,SAN JACINTO RIVER AUTHORITY HIGHLANDS,water system,,,,,,,,,,,,,,,,,,,,TX1013456,Y,Municipal Short,Authority
1106306,BRAZORIA COUNTY MUD 53,water system,2022.0,N," 2,826 "," 43,730,000 ", 938 ,,,,,,," 1,360,000 ", 4 ," 13,692,000 ", 8 ," 58,782,000 ", 950 ," 2,632,000 ",,TX0200764,N,Municipal Long,District 
5000,A & P WSC PUMP 1,water system,2022.0,N, 639 ," 7,977,600 ", 208 ,,," 385,300 ", 5 ,,,,,,," 8,362,900 ", 213 ,,,TX1830017,N,Municipal Long,Water Supply Corporation
5800,CITY OF ABBOTT,water system,2022.0,N, 356 ," 12,652,250 ", 198 ,,," 298,490 ", 10 ,,," 4,113,690 ", 6 ," 52,110 ", 3 ," 17,116,540 ", 217 ," 355,900 ", 2 ,TX1090015,N,Municipal Long,Municipal
8000,CITY OF ACKERLY,water system,2022.0,N, 264 ," 11,647,620 ", 143 ,,," 751,875 ", 10 ,,," 725,700 ", 6 ,,," 13,125,195 ", 159 ,,,TX0580011,N,Municipal Long,Water Supply Corporation
8868,ACTON WATER ROYAL OAKS,water system,2022.0,N, 213 ," 4,911,000 ", 69 ,,," 258,000 ", 2 ,,,,,,," 5,169,000 ", 71 ," 1,639,000 ",,TX1110055,N,Municipal Long,Private/IOU
8960,ADDICKS UTILITY DISTRICT,water system,2022.0,N," 7,029 "," 127,035,000 "," 1,636 "," 28,070,000 ", 676 ," 11,618,000 ", 34 ,,,,," 12,530,000 ", 28 ," 179,253,000 "," 2,374 "," 9,406,575 ", 1 ,TX1011019,N,Municipal Long,District 
9600,MOORTEX WSC,water system,2022.0,N, 266 ," 12,075,900 ", 95 ,,,,,,,,,,," 12,075,900 ", 95 ,,,TX1710021,N,Municipal Long,Water Supply Corporation
9800,ADRIAN MUNICIPAL WATER SYSTEM,water system,2022.0,Y, 166 ," 12,000,000 ", 87 ,,,,,,,,,,," 12,000,000 ", 87 ,,,TX1800003,N,Municipal Long,Municipal
9951,AFTON PARK WATER SYSTEM,water system,2022.0,Y, 112 ," 1,073,319 ", 28 ,,,,,,,,,,," 1,073,319 ", 28 ,,,TX1700147,N,Municipal Long,Private/IOU
10200,AGNES SUBDIVISION,water system,2022.0,Y, 69 ,,,,,,,,,,,,,,,,,TX1840017,N,Municipal Long,Private/IOU
10600,CITY OF AGUA DULCE,water system,2022.0,N, 780 ,,,,,,,,,,,,," 26,955,140 ", 320 ,,,TX1780001,N,Municipal Long,Municipal
10848,BLUE SKIES OF TEXAS WEST,water system,2022.0,N, 750 ," 125,683,000 ", 400 ,,,,,,,,,,," 125,683,000 ", 400 ,,,TX0150463,N,Municipal Long,Private/IOU
10850,AIRLINE CROSSING,water system,,,,,,,,,,,,,,,,,,,,TX1650003,N,Municipal Short,Mobile Home Park
10853,AIR PARK ESTATES,water system,2022.0,N, 75 ," 4,215,200 ", 32 ,,,,,,,,,,," 4,215,200 ", 32 ,,,TX0430060,N,Municipal Long,Private/IOU
11000,CITY OF ALAMO,water system,2022.0,N," 21,065 "," 447,689,500 "," 4,875 "," 29,579,900 ", 438 ," 208,809,800 ", 410 ,,," 42,384,000 ", 39 ,,," 728,463,200 "," 5,762 "," 1,031,180 ",,TX1080001,N,Municipal Long,Municipal
11200,CITY OF ALAMO HEIGHTS,water system,2022.0,N," 7,357 "," 365,583,982 "," 2,475 "," 26,347,208 ", 85 ," 35,451,894 ", 199 ,,," 6,005,255 ", 15 ," 119,480,067 ", 373 ," 552,868,406 "," 3,147 "," 16,176,600 ", 250 ,TX0150039,N,Municipal Long,Municipal
11400,CITY OF ALBA,water system,2022.0,N, 570 ," 17,189,100 ", 312 ," 772,000 ", 24 ," 2,182,000 ", 33 ," 2,649,300 ", 7 ,,,,," 22,792,400 ", 376 ," 10,000 ", 1 ,TX2500005,N,Municipal Long,Municipal
11425,K & K WATER COMPANY,water system,2022.0,N, 223 ," 5,921,000 ", 93 ,,,,,,,,,,," 5,921,000 ", 93 ," 610,000 ",,TX0110045,N,Municipal Long,Private/IOU
11427,ALBURY MANOR UTILITY COMPANY,water system,2022.0,N, 150 ," 8,664,000 ", 50 ,,,,,,,,,,," 8,664,000 ", 50 ,,,TX1012052,N,Municipal Long,Private/IOU
11475,ALDINE FOREST,water system,2022.0,N, 141 ," 3,392,000 ", 43 ,,," 438,000 ", 4 ,,,,,,," 3,830,000 ", 47 ," 624,000 ",,TX1010410,N,Municipal Long,Private/IOU
11477,ALDINE GARDENS MOBILE HOME PARK,water system,,,,,,,,,,,,,,,,,,,,TX1010825,N,Municipal Short,Mobile Home Park
