Year,TWDB Seller Survey No,PWS Name,Seller County,Seller Water Type, Seller Volume Reported ,Buyer Survey No,Buyer Name,Buyer Water Type, Buyer Volume Reported ,Buyer NAICS Code, Volume Used In Net Use ,Volume Source Used In Net Use
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 239,944,999 ",632000,CITY OF OVILLA,Surface Water," 228,943,000 ",N/A," 228,943,000 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,632991,"BlueTriton Brands, Inc.-DALLAS MOUNTAIN CREEK",Surface Water," 209,162,900 ",312112," 209,162,900 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,700900,PRIMROSE OIL,Surface Water," 393,500 ",324191," 393,500 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,703480,PETRA CHEMICAL COMPANY,Surface Water," 1,153,800 ",325180," 1,153,800 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 112,096,778 ",708300,QUALITY SAUSAGE COMPANY,Surface Water," 113,912,901 ",311612," 113,912,901 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 496,686,999 ",721000,CITY OF RED OAK FUEL DISPENSING STATION,Surface Water," 512,353,999 ",N/A," 512,353,999 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,736250,ROCHESTER GAUGES INC,Surface Water," 2,574,400 ",334514," 2,574,400 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,738650,WESTROCK CONVERTING COMPANY-MILL DIVISION,Surface Water," 117,808,300 ",322130," 117,808,300 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 43,712,429 ",741880,TYSON FOODS INC-DALLAS PLANT,Surface Water," 44,232,800 ",311612," 44,232,800 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,748400,MESTEX A DIVISION OF MESTEK INC,Surface Water," 1,850,300 ",333415," 1,850,300 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,766760,SANDENVENDO AMERICA INC,Surface Water," 1,193,000 ",333310," 1,193,000 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,778100,OAK FARMS EAST,Surface Water," 81,405,200 ",311511," 81,405,200 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 580,504,000 ",780200,CITY OF SEAGOVILLE,Surface Water," 580,411,000 ",N/A," 580,411,000 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,807650,REDDY ICE LTD-DALLAS PLANT,Surface Water," 57,576,500 ",312113," 57,576,500 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,823825,CKS PACKAGING INC-DALLAS PLANT,Surface Water," 7,979,000 ",326160," 7,979,000 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 156,172,729 ",825810,SVC MANUFACTURING INC,Surface Water," 161,614,600 ",312111," 161,614,600 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,835500,SOLO CUP CORPORATION,Surface Water," 43,747,900 ",322219," 43,747,900 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,842872,TAMKO BUILDING PRODUCTS INC-DALLAS PLANT,Groundwater," 16,615,000 ",324122," 16,615,000 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,848520,VALLEY PROTEINS INC-DALLAS PLANT,Surface Water," 5,200 ",311613," 5,200 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,853434,MM-CORINTH RM,Surface Water," 5,920,000 ",327320," 5,920,000 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,853463,MM-SPANGLER RM,Surface Water," 11,791,800 ",327320," 11,791,800 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,853473,TEXAS INSTRUMENTS INC-FOREST LANE PLANT SOUTH CAMPUS,Surface Water," 56,279,000 ",541380," 56,279,000 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 1,660,577,144 ",853480,TEXAS INSTRUMENTS INC-NORTH CENTRAL EXPRESSWAY PLANT,Surface Water," 1,821,827,000 ",334413," 1,821,827,000 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,885070,UNITRON LP,Surface Water," 895,500 ",335312," 895,500 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,889524,U S GYPSUM COMPANY-DALLAS PLANT,Surface Water," 8,933,500 ",327420," 8,933,500 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,893400,DARLING INT INC,Surface Water," 38,458,200 ",311613," 38,458,200 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,970055,WELLMARK INTERNATIONAL,Surface Water," 4,480,000 ",325320," 4,480,000 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 51,625,705 ",1100031,ARAMARK UNIFORM (CITY OF DALLAS),N/A, -   ,456199," 51,625,705 ",SELLER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 83,616,338 ",1100121,COCA COLA BOTTLING CO-DALLAS SITE,N/A, -   ,312111," 83,616,338 ",SELLER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,1100232,FRITO LAY BROOKHOLLOW,Surface Water," 1,967,300 ",311919," 1,967,300 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 14,644,666 ",1101755,CINTAS CORPORATION-DALLAS SITE,Surface Water," 156,404 ",812331," 156,404 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,1101767,DON MIGUEL MEXICAN FOOD,Surface Water," 61,864,799 ",311412," 61,864,799 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 74,607,333 ",1101778,HYDRATION SOURCE,N/A, -   ,312112," 74,607,333 ",SELLER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,1101789,PECAN DELUXE CANDY CO,Surface Water," 24,891,700 ",311999," 24,891,700 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 7,313,618,000 ",1101799,UTRWD REGIONAL WATER TREATMENT PLANT,N/A, -   ,N/A," 7,313,618,000 ",SELLER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 200,901,061 ",1101924,NESTLE WATER NORTH AMERICA,Surface Water," 241,357,801 ",312112," 200,901,061 ",SELLER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,1104316,COCA-COLA NORTH AMERICA 43740,N/A, -   ,312111, -   ,BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,1104372,UNIVERSITY OF TEXAS AT DALLAS,Surface Water," 7,397,000 ",N/A," 7,397,000 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 332,903,369 ",1104910,WHITE WAVE FOOD COMPANY,N/A, -   ,N/A," 332,903,369 ",SELLER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 234,898,189 ",1104911,DCHD/PGHC,N/A, -   ,N/A," 234,898,189 ",SELLER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 92,316,000 ",1104937,CITY OF ROWLETT (WGC),N/A, -   ,N/A," 92,316,000 ",SELLER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,1105117,PIONEER FROZEN FOODS LANGDON,Surface Water," 16,512,800 ",311824," 16,512,800 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,1105136,"BUCKHEAD MEAT OF DALLAS, INC",Surface Water," 181,419 ",424470," 181,419 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 484,144,976 ",1105141,UT SOUTHWESTERN MED CTR,N/A, -   ,622110," 484,144,976 ",SELLER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 564,870,805 ",1106186,NIAGARA BOTTLING LLC DALLAS - 1 PLANT,Surface Water," 189,761,799 ",312112," 564,870,805 ",SELLER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 87,380,224 ",1106189,WESTROCK PAPER MILL,N/A, -   ,322130," 87,380,224 ",SELLER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 62,140,197 ",1106190,DEAN FOODS / DBA OAK FARMS DAIRY,N/A, -   ,424430," 62,140,197 ",SELLER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 67,020,675 ",1106191,AT & T SERVICES-DALLAS SITE,N/A, -   ,517111," 67,020,675 ",SELLER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,1106193,DIVISION LAUNDRY,N/A, -   ,812320, -   ,BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,1106194,TRIZEC PLZ OF AMERICA PL SID#5514465,N/A, -   ,531190, -   ,BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 26,924,261 ",1106195,RITZ-CARLTON ENGINEERING,Surface Water," 26,924,268 ",721110," 26,924,268 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 15,586,358 ",1106204,"VERSUM MATERIALS US, LLC",Surface Water," 15,586,356 ",325612," 15,586,356 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 147,436,004 ",1106245,BAYLOR HEALTHCARE -444300,N/A, -   ,622110," 147,436,004 ",SELLER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,1106382,ILLES FOODS-MCKENZIE DRIVE SITE,Surface Water," 12,034,000 ",311999," 12,034,000 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,1106390,ANATOLE PARTNERS III LLC,N/A, -   ,812331, -   ,BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 2,525,094,999 ",1106391,CITY OF IRVING -RAW WATER,N/A, -   ,N/A," 2,525,094,999 ",SELLER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 3,235,084,000 ",1106392,CITY OF LEWISVILLE - RAW WATER,N/A, -   ,N/A," 3,235,084,000 ",SELLER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,N/A, -   ,1106455,BAY VALLEY FOODS,Surface Water," 2,409,000 ",311920," 2,409,000 ",BUYER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 54,609,731 ",1106827,HILAND DAIRY FOODS COMPANY LLC,N/A, -   ,311511," 54,609,731 ",SELLER-VOLUME
2022,206800,DALLAS WATER UTILITY,DALLAS,Surface Water," 12,188,091 ",1106935,PAR 41 INC,N/A, -   ,N/A," 12,188,091 ",SELLER-VOLUME
2023,215800,CITY OF MIDWAY,NAVARRO,Surface Water," 2,978,900 ",692700,Mathis Construction Services-POST OAK SUD,Surface Water," 2,657,300 ",N/A," 2,978,900 ",SELLER-VOLUME
2022,215800,CITY OF MIDWAY,NAVARRO,Surface Water," 3,197,400 ",692700,Mathis Construction Services-POST OAK SUD,Surface Water," 2,657,300 ",N/A," 3,197,400 ",SELLER-VOLUME
2023,216950,DEAN DALE SUD,CLAY,Surface Water," 12,703,000 ",116250,CITY OF BYERS,Surface Water," 10,478,000 ",N/A," 12,703,000 ",SELLER-VOLUME
2022,216950,DEAN DALE SUD,CLAY,Surface Water," 15,281,000 ",116250,CITY OF BYERS,Surface Water," 10,478,000 ",N/A," 15,281,000 ",SELLER-VOLUME
2023,217200,CITY OF DECATUR,WISE,Surface Water," 14,655,800 ",688195,POCO GRAPHITE INC,Surface Water," 16,690,000 ",335991," 16,690,000 ",BUYER-VOLUME
2022,217200,CITY OF DECATUR,WISE,Surface Water," 14,655,800 ",688195,POCO GRAPHITE INC,Surface Water," 18,131,000 ",335991," 18,131,000 ",BUYER-VOLUME
2023,218000,CITY OF DEER PARK,HARRIS,N/A, -   ,258600,DRESSER DIRECT,Surface Water," 660,000 ",423830," 660,000 ",BUYER-VOLUME
2022,218000,CITY OF DEER PARK,HARRIS,N/A, -   ,258600,DRESSER DIRECT,Surface Water," 660,000 ",423830," 660,000 ",BUYER-VOLUME
2023,221200,DEL RIO UTILITIES COMMISSION,VAL VERDE,Groundwater," 164,011,000 ",889180,U S  AIR FORCE-LAUGHLIN AFB 47TH CES/CEIE,Groundwater," 159,417,000 ",N/A," 159,417,000 ",BUYER-VOLUME
2022,221200,DEL RIO UTILITIES COMMISSION,VAL VERDE,Groundwater," 149,074,000 ",889180,U S  AIR FORCE-LAUGHLIN AFB 47TH CES/CEIE,Groundwater," 168,856,000 ",N/A," 168,856,000 ",BUYER-VOLUME
2023,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,N/A, -   ,146135,CHAMPION COOLER CORPORATION,Surface Water," 1,959,100 ",333413," 1,959,100 ",BUYER-VOLUME
2023,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,N/A, -   ,391210,DENISON INDUSTRIES INC,Surface Water," 3,226,420 ",331524," 3,226,420 ",BUYER-VOLUME
2023,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,Surface Water," 40,004,265 ",472500,KWIKSET CORPORATON,Surface Water," 39,943,200 ",332510," 39,943,200 ",BUYER-VOLUME
2023,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,Surface Water," 8,532,925 ",607925,"Texas Water Utilities, L.P.-NORTHERN HILLS WATER SERVICE",Surface Water," 2,253,000 ",N/A," 2,253,000 ",BUYER-VOLUME
2023,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,Surface Water," 62,914,000 ",618400,OAK RIDGE SOUTH GALE WSC,Surface Water," 62,914,000 ",N/A," 62,914,000 ",BUYER-VOLUME
2023,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,Surface Water," 179,059,400 ",695300,CITY OF POTTSBORO,Surface Water," 212,269,393 ",N/A," 212,269,393 ",BUYER-VOLUME
2023,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,N/A, -   ,721450,CATERPILLAR GLOBAL MINING EQUIPMENT LLC,Surface Water," 1,475,132 ",333131," 1,475,132 ",BUYER-VOLUME
2023,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,Surface Water," 8,004,942 ",862602,"Texas Water Utilities, L.P.-ROCKY POINT SYSTEMS A & B",Surface Water," 8,004,000 ",N/A," 8,004,000 ",BUYER-VOLUME
2023,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,Surface Water," 14,814,100 ",864505,THOMPSON HEIGHTS WATER,Surface Water," 13,752,600 ",N/A," 13,752,600 ",BUYER-VOLUME
2023,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,Surface Water," 622,858 ",1100531,US CORPS OF ENGINEERS (CITY OF DENISON),N/A, -   ,N/A," 622,858 ",SELLER-VOLUME
2023,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,Surface Water," 4,539,300 ",1101715,MONARCH RIDGE,N/A, -   ,N/A," 4,539,300 ",SELLER-VOLUME
2023,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,Surface Water," 215,349,590 ",1102630,RUIZ FOOD,Surface Water," 215,349,590 ",311412," 215,349,590 ",BUYER-VOLUME
2023,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,N/A, -   ,1104570,MUNSON POINT PROPERTY OWNERS ASSOCIATION,Surface Water," 4,854,600 ",N/A," 4,854,600 ",BUYER-VOLUME
2023,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,Surface Water," 11,691,005 ",1107215,TOTAL INDUSTRIAL LESS THAN 10 MG,N/A, -   ,N/A," 11,691,005 ",SELLER-VOLUME
2022,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,Surface Water," 2,726,730 ",146135,CHAMPION COOLER CORPORATION,Surface Water," 2,399,900 ",333413," 2,399,900 ",BUYER-VOLUME
2022,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,N/A, -   ,391210,DENISON INDUSTRIES INC,Surface Water," 3,355,816 ",331524," 3,355,816 ",BUYER-VOLUME
2022,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,Surface Water," 37,401,320 ",472500,KWIKSET CORPORATON,Surface Water," 34,520,800 ",332510," 34,520,800 ",BUYER-VOLUME
2022,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,Surface Water," 7,410,533 ",607925,NORTHERN HILLS WATER SERVICE,Surface Water," 5,956,499 ",N/A," 7,410,533 ",SELLER-VOLUME
2022,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,Surface Water," 63,729,000 ",618400,OAK RIDGE SOUTH GALE WSC,Surface Water," 65,097,000 ",N/A," 65,097,000 ",BUYER-VOLUME
2022,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,Surface Water," 164,720,145 ",695300,CITY OF POTTSBORO,Surface Water," 172,035,154 ",N/A," 172,035,154 ",BUYER-VOLUME
2022,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,N/A, -   ,721450,CATERPILLAR GLOBAL MINING EQUIPMENT LLC,Surface Water," 1,229,723 ",333131," 1,229,723 ",BUYER-VOLUME
2022,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,Surface Water," 8,502,839 ",862602,MONARCH UTILITIES LP-ROCKY POINT SYSTEMS A & B,Surface Water," 8,775,600 ",N/A," 8,775,600 ",BUYER-VOLUME
2022,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,Surface Water," 14,361,700 ",864505,THOMPSON HEIGHTS WATER,Surface Water," 14,882,400 ",N/A," 14,882,400 ",BUYER-VOLUME
2022,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,Surface Water," 407,000 ",1100531,US CORPS OF ENGINEERS (CITY OF DENISON),N/A, -   ,N/A," 407,000 ",SELLER-VOLUME
2022,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,Surface Water," 9,435,504 ",1101715,MONARCH RIDGE,N/A, -   ,N/A," 9,435,504 ",SELLER-VOLUME
2022,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,Surface Water," 110,806,489 ",1102630,RUIZ FOOD,Surface Water," 110,806,489 ",311412," 110,806,489 ",BUYER-VOLUME
2022,221950,BLUE SKIES OF TEXAS WEST,GRAYSON,N/A, -   ,1104570,MUNSON POINT PROPERTY OWNERS ASSOCIATION,Surface Water," 3,633,000 ",N/A," 3,633,000 ",BUYER-VOLUME
2023,222800,CITY OF DENTON,DENTON,N/A, -   ,8200,ACME BRICK COMPANY-DENTON PLANT,Surface Water," 4,968,650 ",327120," 4,968,650 ",BUYER-VOLUME
2023,222800,CITY OF DENTON,DENTON,N/A, -   ,222801,GARLAND POWER & LIGHT-SPENCER GENERATING STATION,Surface Water," 4,251,611 ",221112," 4,251,611 ",BUYER-VOLUME
2023,222800,CITY OF DENTON,DENTON,N/A, -   ,440580,JOSTENS INC,Surface Water," 6,022,790 ",339910," 6,022,790 ",BUYER-VOLUME
2023,222800,CITY OF DENTON,DENTON,N/A, -   ,623468,OLD ALTON ESTATES,Surface Water," 3,721,561 ",N/A," 3,721,561 ",BUYER-VOLUME
2023,222800,CITY OF DENTON,DENTON,N/A, -   ,658888,PETERBILT MOTORS COMPANY,Surface Water," 56,648,600 ",336120," 56,648,600 ",BUYER-VOLUME
2023,222800,CITY OF DENTON,DENTON,N/A, -   ,793585,SHELDON BOMBERG DBA-SHERWOOD MOBILE HOME PARK,Surface Water," 2,182,432 ",N/A," 2,182,432 ",BUYER-VOLUME
2023,222800,CITY OF DENTON,DENTON,N/A, -   ,847552,TETRA PAK MATERIALS LLC,Surface Water," 19,998,000 ",322219," 19,998,000 ",BUYER-VOLUME
2023,222800,CITY OF DENTON,DENTON,N/A, -   ,902360,VICTOR TECHNOLOGIES INTERNATIONAL INC,Surface Water," 2,036,208 ",333992," 2,036,208 ",BUYER-VOLUME
2023,222800,CITY OF DENTON,DENTON,Surface Water," 2,028,565,000 ",1101799,UTRWD REGIONAL WATER TREATMENT PLANT,N/A, -   ,N/A," 2,028,565,000 ",SELLER-VOLUME
2023,222800,CITY OF DENTON,DENTON,N/A, -   ,1104542,WOODHAVEN MOBILE HOME COMMUNITY,Surface Water," 12,814,883 ",N/A," 12,814,883 ",BUYER-VOLUME
2023,222800,CITY OF DENTON,DENTON,N/A, -   ,1104791,UNITED COPPER INDUSTRIES - A SOUTHWIRE COMPANY,Surface Water," 21,809,500 ",332618," 21,809,500 ",BUYER-VOLUME
2023,222800,CITY OF DENTON,DENTON,N/A, -   ,1104815,FLOWERS BAKING CO OF DENTON,Surface Water," 12,959,541 ",311812," 12,959,541 ",BUYER-VOLUME
2023,222800,CITY OF DENTON,DENTON,N/A, -   ,1105116,MORRISON MILLING COMPANY LLC,Surface Water," 2,000,020 ",311211," 2,000,020 ",BUYER-VOLUME
2022,222800,CITY OF DENTON,DENTON,N/A, -   ,8200,ACME BRICK COMPANY-DENTON PLANT,Surface Water," 4,968,650 ",327120," 4,968,650 ",BUYER-VOLUME
2022,222800,CITY OF DENTON,DENTON,N/A, -   ,222801,GARLAND POWER & LIGHT-SPENCER GENERATING STATION,Surface Water," 4,837,573 ",221112," 4,837,573 ",BUYER-VOLUME
2022,222800,CITY OF DENTON,DENTON,N/A, -   ,440580,JOSTENS INC,Surface Water," 6,755,800 ",339910," 6,755,800 ",BUYER-VOLUME
2022,222800,CITY OF DENTON,DENTON,N/A, -   ,658888,PETERBILT MOTORS COMPANY,Surface Water," 52,014,000 ",336120," 52,014,000 ",BUYER-VOLUME
2022,222800,CITY OF DENTON,DENTON,N/A, -   ,793585,SHELDON BOMBERG DBA-SHERWOOD MOBILE HOME PARK,Surface Water," 2,182,432 ",N/A," 2,182,432 ",BUYER-VOLUME
2022,222800,CITY OF DENTON,DENTON,N/A, -   ,847552,TETRA PAK MATERIALS LLC,Surface Water," 19,520,000 ",322219," 19,520,000 ",BUYER-VOLUME
2022,222800,CITY OF DENTON,DENTON,N/A, -   ,902360,VICTOR TECHNOLOGIES INTERNATIONAL INC,Surface Water," 2,036,208 ",333992," 2,036,208 ",BUYER-VOLUME
2022,222800,CITY OF DENTON,DENTON,Surface Water," 127,470,000 ",1101799,UTRWD REGIONAL WATER TREATMENT PLANT,N/A, -   ,N/A," 127,470,000 ",SELLER-VOLUME
2022,222800,CITY OF DENTON,DENTON,N/A, -   ,1104791,UNITED COPPER INDUSTRIES - A SOUTHWIRE COMPANY,Surface Water," 17,890,500 ",332618," 17,890,500 ",BUYER-VOLUME
2022,222800,CITY OF DENTON,DENTON,N/A, -   ,1104815,FLOWERS BAKING CO OF DENTON,Surface Water," 13,530,000 ",311812," 13,530,000 ",BUYER-VOLUME
2022,222800,CITY OF DENTON,DENTON,N/A, -   ,1105116,MORRISON MILLING COMPANY LLC,Surface Water," 1,306,660 ",311211," 1,306,660 ",BUYER-VOLUME
2023,222805,TROPHY CLUB MUD 1,DENTON,N/A," 260,417,000 ",1103345,Trophy MUD 1-TOWN OF TROPHY CLUB PUBLIC ID,Surface Water," 228,076,000 ",N/A," 260,417,000 ",SELLER-VOLUME
2022,222805,TROPHY CLUB MUD 1,DENTON,N/A," 267,523,000 ",1103345,Trophy MUD 1-TOWN OF TROPHY CLUB PUBLIC ID,Surface Water," 228,076,000 ",N/A," 267,523,000 ",SELLER-VOLUME
2023,225200,CITY OF DESOTO,DALLAS,N/A, -   ,54300,DIAB AMERICAS LP,Surface Water," 1,116,206 ",326150," 1,116,206 ",BUYER-VOLUME
2023,225200,CITY OF DESOTO,DALLAS,Surface Water," 14,907,155 ",805046,SOLAR TURBINES INC,Surface Water," 15,299,370 ",333611," 15,299,370 ",BUYER-VOLUME
2023,225200,CITY OF DESOTO,DALLAS,N/A, -   ,970050,ZEP MANUFACTURING COMPANY,Surface Water," 1,795,680 ",325611," 1,795,680 ",BUYER-VOLUME
2022,225200,CITY OF DESOTO,DALLAS,N/A, -   ,54300,DIAB AMERICAS LP,Surface Water," 909,803 ",326150," 909,803 ",BUYER-VOLUME
2022,225200,CITY OF DESOTO,DALLAS,N/A, -   ,805046,SOLAR TURBINES INC,Surface Water," 11,917,324 ",333611," 11,917,324 ",BUYER-VOLUME
2022,225200,CITY OF DESOTO,DALLAS,N/A, -   ,970050,ZEP MANUFACTURING COMPANY,Surface Water," 1,795,680 ",325611," 1,795,680 ",BUYER-VOLUME
2023,227100,DIALVILLE OAKLAND WSC,CHEROKEE,N/A, -   ,564411,M & H CRATES INC,Groundwater," 821,270 ",321920," 821,270 ",BUYER-VOLUME
2022,227100,DIALVILLE OAKLAND WSC,CHEROKEE,N/A, -   ,564411,M & H CRATES INC,Groundwater," 503,360 ",321920," 503,360 ",BUYER-VOLUME
2023,227600,CITY OF DIBOLL,ANGELINA,Groundwater," 13,599,820 ",87260,HEXION INC,Groundwater," 14,052,277 ",325199," 14,052,277 ",BUYER-VOLUME
2023,227600,CITY OF DIBOLL,ANGELINA,Groundwater," 3,909,434 ",696800,ANGELINA & NECHES RIVER AUTHORITY-PRAIRIE GROVE,N/A, -   ,N/A," 3,909,434 ",SELLER-VOLUME
2023,227600,CITY OF DIBOLL,ANGELINA,N/A, -   ,846050,Georgia-Pacific Panel Products LLC-FIBERBOARD PLANT,Groundwater," 557,005 ",321219," 557,005 ",BUYER-VOLUME
2023,227600,CITY OF DIBOLL,ANGELINA,Groundwater," 5,252,437 ",846060,Georgia- Pacific-DIBOLL LUMBER DIVISION,Groundwater," 5,362,651 ",321113," 5,362,651 ",BUYER-VOLUME
2023,227600,CITY OF DIBOLL,ANGELINA,N/A, -   ,846070,GEORGIA PACIFIC CORPORATION-DIBOLL PARTICLEBOARD,Groundwater," 2,232,014 ",321219," 2,232,014 ",BUYER-VOLUME
2023,227600,CITY OF DIBOLL,ANGELINA,Groundwater," 659,588 ",1101268,OTHER MANUFACTURING ANGELINA COUNTY,N/A, -   ,N/A," 659,588 ",SELLER-VOLUME
2023,227600,CITY OF DIBOLL,ANGELINA,Groundwater," 42,605 ",1106338,ATCO STRUCTURES,N/A, -   ,N/A," 42,605 ",SELLER-VOLUME
2023,227600,CITY OF DIBOLL,ANGELINA,Groundwater," 70,038 ",1106339,DEMCO,N/A, -   ,N/A," 70,038 ",SELLER-VOLUME
2022,227600,CITY OF DIBOLL,ANGELINA,Groundwater," 13,857,324 ",87260,HEXION INC,Groundwater," 14,120,956 ",325199," 14,120,956 ",BUYER-VOLUME
2022,227600,CITY OF DIBOLL,ANGELINA,Groundwater," 1,679,154 ",696800,ANGELINA & NECHES RIVER AUTHORITY-PRAIRIE GROVE UTILITIES,N/A, -   ,N/A," 1,679,154 ",SELLER-VOLUME
2022,227600,CITY OF DIBOLL,ANGELINA,N/A, -   ,846050,Georgia-Pacific Panel Products LLC-FIBERBOARD PLANT,Groundwater," 31,473 ",321219," 31,473 ",BUYER-VOLUME
