TWDB Survey Number,TCEQ PWS Code,PWS Name,Wholesale System?,Water Use Survey Form Type,PWS System Class
287135,TX1500112,FLAG CREEK RANCH,N,Municipal Long,Private/IOU
287170,TX1700042,FLAMINGO LAKES LOT OWNERS ASSOCIATION IN,N,Municipal Long,Private/IOU
287200,TX0750002,CITY OF FLATONIA,N,Municipal Long,Municipal
287250,TX1070155,FLAT CREEK COVE PROPERTY OWNERS ASSOCIAT,N,Municipal Long,Private/IOU
287300,TX2100007,FLAT FORK WSC,N,Municipal Long,Water Supply Corporation
287350,TX1840035,FLAT ROCK ESTATES,N,Municipal Long,Private/IOU
287400,TX0500016,FLAT WSC,N,Municipal Long,Water Supply Corporation
288250,TX1450015,FLO COMMUNITY WSC,N,Municipal Long,Water Supply Corporation
288400,TX1730003,FLOMOT WATER ASSOCIATION,N,Municipal Long,Water Supply Corporation
288800,TX2460005,CITY OF FLORENCE,N,Municipal Long,Municipal
289600,TX2470001,CITY OF FLORESVILLE,N,Municipal Long,Municipal
289800,TX0610023,TOWN OF FLOWER MOUND,N,Municipal Long,Municipal
290375,TX2300020,FRIENDSHIP WATER SYSTEM,N,Municipal Long,Private/IOU
290380,TX2300026,ROSEWOOD WATER SYSTEM,N,Municipal Long,Private/IOU
290400,TX0770001,CITY OF FLOYDADA,N,Municipal Long,Municipal
291250,TX0100016,FLYING L RANCH PUD,N,Municipal Long,District 
292000,TX1480003,FOLLETT MUNICIPAL WATER SYSTEM,N,Municipal Long,Municipal
292678,TX1300013,FOOTHILLS MOBILE HOME RANCH ANNEX,N,Municipal Short,Mobile Home Park
292680,TX1300008,FOOTHILLS MOBILE HOME RANCH,N,Municipal Short,Mobile Home Park
293110,TX1690003,FORESTBURG WSC,N,Municipal Long,Water Supply Corporation
293137,TX1470026,WHITE ROCK WSC 1 FOREST GLADE,N,Municipal Long,Water Supply Corporation
293140,TX1700017,LAKE FOREST FALLS SUBDIVISION,N,Municipal Long,Private/IOU
293141,TX1011252,FOREST HILLS MUD,N,Municipal Long,District 
293142,TX0610119,FOREST HILL TWO WSC,N,Municipal Long,Water Supply Corporation
293150,TX2200011,CITY OF FOREST HILL,N,Municipal Long,Municipal
293215,TX0920026,FOREST LAKE SUBDIVISION,N,Municipal Long,Private/IOU
293540,TX1870059,FOREST SPRINGS WATER SYSTEM,N,Municipal Long,Private/IOU
293550,TX0370019,FOREST WSC,N,Municipal Long,Water Supply Corporation
293600,TX1290002,CITY OF FORNEY,N,Municipal Long,Municipal
293750,TX1290014,FORNEY LAKE WSC,N,Municipal Long,Water Supply Corporation
295024,TX0790468,FORT BEND COUNTY MUD 24,N,Municipal Long,District 
295145,TX0790502,FORT BEND COUNTY MUD 145 RIO VISTA,N,Municipal Long,District 
295200,TX1140011,CITY OF FORSAN,N,Municipal Long,Municipal
295202,TX1090033,LAKESHORE WATER SYSTEM 2,N,Municipal Long,Water Supply Corporation
295203,TX2520007,FORT BELKNAP WSC,N,Municipal Long,Water Supply Corporation
295208,TX0790347,HARRIS FORT BEND COUNTIES MUD 5,N,Municipal Long,District 
295210,TX0790440,FORT BEND COUNTY FWSD 2,N,Municipal Long,District 
295212,TX0790130,FORT BEND COUNTY MUD 25,N,Municipal Long,District 
295220,TX0790237,FORT BEND COUNTY MUD 23,N,Municipal Long,District 
295225,TX0790137,FORT BEND COUNTY MUD 26 QUAIL GREEN WEST,N,Municipal Long,District 
295230,TX0790146,FORT BEND COUNTY MUD 30,N,Municipal Long,District 
295231,TX0790474,FORT BEND COUNTY FWSD 1,N,Municipal Long,District 
295234,TX0790200,FORT BEND COUNTY MUD 34,N,Municipal Long,District 
295235,TX0790155,FORT BEND COUNTY MUD 19,N,Municipal Long,District 
295237,TX0790189,FORT BEND COUNTY MUD 37,N,Municipal Long,District 
295241,TX0790229,FORT BEND COUNTY MUD 41,N,Municipal Long,District 
295242,TX0790254,FORT BEND COUNTY MUD 42 WAT PLAT,N,Municipal Long,District 
295245,TX0790220,FORT BEND COUNTY MUD 47,N,Municipal Long,District 
295246,TX0790315,FORT BEND COUNTY MUD 46,N,Municipal Long,District 
295248,TX0790267,FORT BEND COUNTY MUD 48,N,Municipal Long,District 
295249,TX0790256,FORT BEND COUNTY MUD 49,N,Municipal Long,District 
295251,TX0790277,FORT BEND COUNTY MUD 50,N,Municipal Long,District 
295258,TX0790458,FORT BEND COUNTY MUD 58,N,Municipal Long,District 
295262,TX0790459,FORT BEND COUNTY MUD 162,N,Municipal Long,District 
295266,TX0790486,FORT BEND COUNTY MUD 66,N,Municipal Long,District 
295274,TX0790132,PECAN GROVE MUD,N,Municipal Long,District 
295280,TX0790038,FORT BEND COUNTY MUD 2,N,Municipal Long,District 
295281,TX0790268,FORT BEND COUNTY MUD 81 WESTON LAKES,N,Municipal Long,District 
295284,TX0790403,FORT BEND COUNTY MUD 115 RIVERSTONE,N,Municipal Long,District 
295286,TX0790296,CITY OF SUGAR LAND - GREATWOOD,N,Municipal Long,Municipal
295287,TX0790367,FORT BEND COUNTY MUD 116 CANYON GATE,N,Municipal Long,District 
295290,TX1360003,FORT CLARK SPRINGS MUD,N,Municipal Long,District 
295292,TX0790253,CITY OF SUGAR LAND - NEW TERRITORY,N,Municipal Long,District 
295294,TX0790382,FORT BEND COUNTY MUD 119,N,Municipal Long,District 
295295,TX0790412,FORT BEND COUNTY MUD 124,N,Municipal Long,District 
295296,TX0790371,FORT BEND COUNTY MUD 130,N,Municipal Long,District 
295297,TX0790416,FORT BEND COUNTY MUD 122,N,Municipal Long,District 
295298,TX0790366,FORT BEND COUNTY MUD 118,N,Municipal Long,District 
295303,TX0790368,FORT BEND COUNTY WCID 3,N,Municipal Long,District 
295350,TX1220001,FORT DAVIS WSC,N,Municipal Long,Water Supply Corporation
295450,TX0500017,FORT GATES WSC,N,Municipal Long,Water Supply Corporation
295637,TX0790446,FORT BEND COUNTY MUD 123,N,Municipal Long,District 
295700,TX1150005,FORT HANCOCK WCID,N,Municipal Long,District 
295710,TX2320013,FORT INGE MOBILE HOME PARK,N,Municipal Short,Mobile Home Park
296000,TX1860001,CITY OF FORT STOCKTON,N,Municipal Long,Municipal
298900,TX2200012,CITY OF FORT WORTH,N,Municipal Long,Municipal
300810,TX2500016,FOUKE WSC,N,Municipal Long,Water Supply Corporation
300950,TX1010435,FOUNTAINHEAD MUD,N,Municipal Long,District 
300960,TX1870144,FOUNTAIN LAKE OWNERS WSC,N,Municipal Long,Water Supply Corporation
301000,TX1010127,FOUNTAINVIEW SUBDIVISION,N,Municipal Long,Private/IOU
301095,TX1940006,410 WSC,N,Municipal Long,Water Supply Corporation
301100,TX0140076,439 WSC,N,Municipal Long,Water Supply Corporation
301200,TX0010020,FOUR PINES WSC,N,Municipal Long,Water Supply Corporation
301250,TX1013088,FOUR SEASONS MHP,N,Municipal Short,Mobile Home Park
301300,TX0030020,FOUR WAY SUD,N,Municipal Long,Water Supply Corporation
301630,TX1420006,FOWLERTON WSC,N,Municipal Long,Water Supply Corporation
301680,TX0610164,FOXBANE COMBINED WS,N,Municipal Long,Private/IOU
302400,TX1980003,CITY OF FRANKLIN,N,Municipal Long,Municipal
303100,TX0010004,FRANKSTON RURAL WSC,N,Municipal Long,Water Supply Corporation
303200,TX0010002,CITY OF FRANKSTON DOWNTOWN PLANT,N,Municipal Long,Municipal
304000,TX0860001,CITY OF FREDERICKSBURG,N,Municipal Long,Municipal
304040,TX1011796,WOODGATE MOBILE HOME VILLAGE,N,Municipal Short,Mobile Home Park
304800,TX0200005,CITY OF FREEPORT,N,Municipal Long,Municipal
304801,TX0200125,CITY OF FREEPORT SLAUGHTER ROAD,N,Municipal Long,Municipal
305600,TX0660002,FREER WCID,N,Municipal Long,District 
306025,TX0490042,FRF WATER SYSTEMS 1 3 4 5 6 7 8,N,Municipal Long,Private/IOU
306075,TX2430008,FRIBERG-COOPER WSC,N,Municipal Long,Water Supply Corporation
306078,TX1010648,LA CASITA HOMES II,N,Municipal Long,Private/IOU
306100,TX0840002,CITY OF FRIENDSWOOD,N,Municipal Long,Municipal
306200,TX2200105,FRIENDLY OAKS WSC,N,Municipal Long,Water Supply Corporation
306350,TX1930007,TWIN FORKS ESTATES WSC,N,Municipal Long,Water Supply Corporation
306400,TX1850003,FRIONA MUNICIPAL WATER SYSTEM,N,Municipal Long,Municipal
307200,TX0430005,CITY OF FRISCO,N,Municipal Long,Municipal
308000,TX1170004,FRITCH MUNICIPAL WATER SUPPLY,N,Municipal Long,Municipal
308400,TX0430035,FROGNOT SUD,N,Municipal Long,Water Supply Corporation
309600,TX1750004,CITY OF FROST,N,Municipal Long,Municipal
309610,TX1610097,FROST MOBILE HOME PARK,N,Municipal Short,Mobile Home Park
309700,TX1010681,P & B WATER SYSTEM,N,Municipal Long,Private/IOU
309800,TX2340010,FRUITVALE WSC,N,Municipal Long,Water Supply Corporation
309950,TX1011679,FRY ROAD MUD,N,Municipal Long,District 
312103,TX0790133,CITY OF FULSHEAR,N,Municipal Long,Municipal
312940,TX0360069,TOWER TERRACE,N,Municipal Long,Private/IOU
312941,TX0930048,G & W WSC,N,Municipal Long,Water Supply Corporation
312943,TX2370063,G & W WSC,N,Municipal Long,Water Supply Corporation
313520,TX1120014,GAFFORD CHAPEL WSC,N,Municipal Long,Water Supply Corporation
313550,TX0170010,BORDEN COUNTY WATER SYSTEM,N,Municipal Long,County
314600,TX0490001,CITY OF GAINESVILLE,N,Municipal Long,Municipal
315800,TX1010009,CITY OF GALENA PARK,N,Municipal Long,Municipal
315910,TX1690023,AMON G CARTER LAKE WSC,N,Municipal Long,Water Supply Corporation
316000,TX0370020,GALLATIN WSC,N,Municipal Long,Water Supply Corporation
316200,TX0840003,CITY OF GALVESTON,N,Municipal Long,Municipal
316300,TX0840036,GALVESTON COUNTY FWSD 6 TIKI ISLAND,N,Municipal Long,District 
316325,TX0840001,GALVESTON COUNTY WCID 1,N,Municipal Long,District 
316450,TX0840028,GALVESTON COUNTY WCID 19,N,Municipal Long,District 
317000,TX1200002,CITY OF GANADO,N,Municipal Long,Municipal
317925,TX0920031,GARDEN ACRES SUBDIVISION,N,Municipal Long,Private/IOU
317955,TX0940030,GARDEN OAKS,N,Municipal Long,Private/IOU
317959,TX0870011,GARDEN CITY WATER SYSTEM GLASSCOCK CNTY,N,Municipal Long,Municipal
317960,TX0460027,CITY OF GARDEN RIDGE,N,Municipal Long,Municipal
318020,TX2120081,GARDEN VALLEY RESORT,N,Municipal Long,Private/IOU
318022,TX1420007,GARDENDALE WSC,N,Municipal Long,Water Supply Corporation
318025,TX2270190,NIGHTHAWK WSC,N,Municipal Long,Water Supply Corporation
318200,TX2270009,GARFIELD WSC,N,Municipal Long,Water Supply Corporation
318600,TX0570010,CITY OF GARLAND,N,Municipal Long,Municipal
318800,TX1830008,GARY WSC,N,Municipal Long,Water Supply Corporation
319211,TX0300015,CALLAHAN COUNTY WSC,N,Municipal Long,Water Supply Corporation
319400,TX1740002,CITY OF GARRISON,N,Municipal Long,Municipal
319800,TX0450014,COLORADO COUNTY WCID 2,N,Municipal Long,District 
319900,TX0710009,GASLIGHT SQUARE MOBILE HOME PARK,N,Municipal Short,Mobile Home Park
319950,TX1290015,GASTONIA SCURRY SUD,N,Municipal Long,District 
320000,TX2010015,GASTON WSC,N,Municipal Long,Water Supply Corporation
320010,TX1050116,GATEWAY ESTATES III,N,Municipal Long,Private/IOU
320200,TX0500002,CITY OF GATESVILLE,N,Municipal Long,Municipal
320450,TX1660008,GAUSE WSC,N,Municipal Long,Water Supply Corporation
322505,TX0100072,THE FALLS WSC,N,Municipal Long,Water Supply Corporation
322600,TX2460001,CITY OF GEORGETOWN,N,Municipal Long,Municipal
322610,TX1490001,CITY OF GEORGE WEST,N,Municipal Long,Municipal
322647,TX0150052,SAWS GERONIMO FOREST WATER SYSTEM,N,Municipal Long,Municipal
323000,TX1550028,GHOLSON WSC,N,Municipal Long,Water Supply Corporation
324200,TX1440001,CITY OF GIDDINGS,N,Municipal Long,Municipal
324220,TX1440014,TEX VILLA APARTMENTS,N,Municipal Long,Private/IOU
325490,TX1010469,DELYNN WATER SYSTEM,N,Municipal Long,Private/IOU
325500,TX1020021,GILL WSC,N,Municipal Long,Water Supply Corporation
326600,TX2300002,CITY OF GILMER,N,Municipal Long,Municipal
327250,TX0920001,CITY OF GLADEWATER,N,Municipal Long,Municipal
328020,TX2120104,STALLION LAKE RANCH,N,Municipal Long,Private/IOU
328250,TX2280012,GLENDALE WSC,N,Municipal Long,Water Supply Corporation
328575,TX0570085,CITY OF GLENN HEIGHTS,N,Municipal Long,Municipal
328577,TX1090061,M & H WATER SUPPLY,N,Municipal Long,Private/IOU
329000,TX2130001,CITY OF GLEN ROSE,N,Municipal Long,Municipal
329310,TX0180030,GLENSHORES WATER,N,Municipal Long,Private/IOU
329450,TX2300005,GLENWOOD WSC,N,Municipal Long,Water Supply Corporation
329451,TX0460246,SJWTX GLENWOOD SUBDIVISION,N,Municipal Long,Private/IOU
329625,TX0450021,GLIDDEN FWSD 1,N,Municipal Long,District 
329630,TX2490028,GLIDER BASE ESTATES,N,Municipal Short,Municipal
329680,TX2020067,G M WSC,N,Municipal Long,Water Supply Corporation
329800,TX1260007,CITY OF GODLEY,N,Municipal Long,Municipal
330000,TX0740024,GOBER MUD,N,Municipal Long,Water Supply Corporation
330200,TX1050019,GOFORTH SUD,N,Municipal Long,Water Supply Corporation
330270,TX1780019,GOLDEN ACRES WATER CO,N,Municipal Long,Private/IOU
330500,TX2500006,GOLDEN WSC,N,Municipal Long,Water Supply Corporation
330520,TX1050081,GOLDENWOOD WEST WSC,N,Municipal Long,Water Supply Corporation
330600,TX1670001,CITY OF GOLDTHWAITE,N,Municipal Long,Municipal
330800,TX0680012,CITY OF GOLDSMITH,N,Municipal Long,Municipal
331400,TX0880001,CITY OF GOLIAD,N,Municipal Long,Municipal
331900,TX0730005,GOLINDA WSC,N,Municipal Long,Water Supply Corporation
331950,TX0890001,CITY OF GONZALES,N,Municipal Long,Municipal
331954,TX0890006,GONZALES COUNTY WSC,N,Municipal Long,Water Supply Corporation
331960,TX0890005,WARM SPRINGS REHAB HOSPITAL,N,Municipal Short,Institutions/Facilities
332000,TX1750032,CITY OF GOODLOW,N,Municipal Long,Water Supply Corporation
332200,TX1870005,CITY OF GOODRICH,N,Municipal Long,Municipal
332300,TX2010016,GOODSPRINGS WSC,N,Municipal Long,Water Supply Corporation
332750,TX1820007,CITY OF GORDON,N,Municipal Long,Municipal
333000,TX1380001,CITY OF GOREE WATER SYSTEM,N,Municipal Long,Municipal
333800,TX0670003,CITY OF GORMAN,N,Municipal Long,Municipal
334335,TX1820003,CITY OF GRAFORD,N,Municipal Long,Municipal
334350,TX2520001,CITY OF GRAHAM,N,Municipal Long,Municipal
334375,TX2520008,GRAHAM EAST WSC,N,Municipal Long,Water Supply Corporation
334395,TX1260120,GRANDA VISTA,N,Municipal Long,Private/IOU
334600,TX1110001,CITY OF GRANBURY,N,Municipal Long,Municipal
334610,TX1110089,COUNTRY MEADOWS SUBDIVISION,N,Municipal Long,Private/IOU
334950,TX0700063,GRANDE CASA,N,Municipal Long,Private/IOU
335100,TX0790449,GRAND MISSION MUD 2,N,Municipal Long,District 
335400,TX2380003,CITY OF GRANDFALLS,N,Municipal Long,Municipal
335500,TX0790430,GRAND MISSION MUD 1,N,Municipal Long,District 
336200,TX0570048,CITY OF GRAND PRAIRIE,N,Municipal Long,Municipal
337000,TX2340003,CITY OF GRAND SALINE,N,Municipal Long,Municipal
337800,TX1260004,CITY OF GRANDVIEW,N,Municipal Long,Municipal
338600,TX2460002,CITY OF GRANGER,N,Municipal Long,Municipal
338700,TX0270022,CITY OF GRANITE SHOALS SHERWOOD III,N,Municipal Long,Municipal
338702,TX0270049,CITY OF GRANITE SHOALS,N,Municipal Long,Municipal
338775,TX1011996,GRANT ROAD ESTATES MOBILE HOME SUB,N,Municipal Long,District 
338798,TX1011991,GRANT ROAD PUD,N,Municipal Long,District 
339000,TX1010130,GRANTWOODS WATER SUPPLY CORPORATION,N,Municipal Long,Private/IOU
339300,TX2260008,CONCHO RURAL WATER GRAPE CREEK,N,Municipal Long,Private/IOU
339400,TX1130002,CITY OF GRAPELAND,N,Municipal Long,Municipal
340200,TX2200013,CITY OF GRAPEVINE,N,Municipal Long,Municipal
341300,TX1530005,GRASSLAND WSC,N,Municipal Long,Water Supply Corporation
341302,TX0930006,GRASSY CREEK MOBILE HOME PARK,N,Municipal Short,Mobile Home Park
341325,TX0150514,GREY FOREST WATER SYSTEM,N,Municipal Long,Private/IOU
341465,TX0910148,GREATER TEXOMA UTILITY AUTHORITY,Y,Municipal Short,Authority
341924,TX2200127,GREEN ACRES MHC,N,Municipal Short,Mobile Home Park
341925,TX0710066,GREEN ACRES MOBILE HOME PARK,N,Municipal Short,Mobile Home Park
341931,TX1840120,GREEN ACRES WATER SYSTEM,N,Municipal Long,Private/IOU
341975,TX0720028,GREEN CREEK WSC,N,Municipal Long,Water Supply Corporation
342220,TX0340019,GREEN HILLS SUBDIVISION,N,Municipal Short,Private/IOU
342222,TX0080027,GREEN MEADOWS WSC,N,Municipal Long,Water Supply Corporation
342234,TX1050028,PLUM CREEK,N,Municipal Long,Private/IOU
342270,TX0610026,GREEN SPRINGS WSC,N,Municipal Long,Water Supply Corporation
342280,TX0570082,D BAR B MOBILE HOME RANCH,N,Municipal Short,Institutions/Facilities
342282,TX1011839,GREEN TRAILS MUD,N,Municipal Long,District 
342300,TX0940020,GREEN VALLEY SUD,N,Municipal Long,Water Supply Corporation
342335,TX0840067,GREENVILLA MOBILE HOME PARK,N,Municipal Short,Mobile Home Park
342340,TX1160004,CITY OF GREENVILLE,N,Municipal Long,Municipal
342345,TX1010554,GREENWOOD UTILITY DISTRICT,N,Municipal Long,District 
342360,TX1650078,GREENWOOD WATER SYSTEM,N,Municipal Long,Private/IOU
342395,TX2050001,CITY OF GREGORY,N,Municipal Long,Municipal
342522,TX2470026,PICOSA WSC,N,Municipal Long,Water Supply Corporation
344150,TX1470002,CITY OF GROESBECK,N,Municipal Long,Municipal
344200,TX0330001,GROOM MUNICIPAL WATER SYSTEM,N,Municipal Long,Municipal
344800,TX1230012,CITY OF GROVES,N,Municipal Long,Municipal
345000,TX2280001,CITY OF GROVETON,N,Municipal Long,Municipal
345200,TX0500023,THE GROVE WSC,N,Municipal Long,Water Supply Corporation
345650,TX0460185,GRUENE RIVER DEVELOPMENT,N,Municipal Long,Private/IOU
345800,TX0980004,GRUVER MUNICIPAL WATER SYSTEM,N,Municipal Long,Municipal
345850,TX1330009,GUADALUPE HEIGHTS UTILITY,N,Municipal Long,Private/IOU
345854,TX0550014,GMNP PINE SPRINGS,N,Municipal Short,Institutions/Facilities
345868,TX1011747,ZAM ZAM WATER SUPPLY,N,Municipal Long,Water Supply Corporation
358490,TX0370021,GUM CREEK WSC,N,Municipal Long,Water Supply Corporation
358500,TX1020026,GUM SPRINGS WSC 1,N,Municipal Long,Water Supply Corporation
358583,TX2390021,GUN & ROD ESTATES,N,Municipal Long,Private/IOU
358600,TX0910012,CITY OF GUNTER,N,Municipal Long,Municipal
358610,TX0910081,MARILEE SUD,N,Municipal Long,District 
359100,TX0470003,CITY OF GUSTINE,N,Municipal Long,Municipal
359200,TX1630031,GUSVILLE MOBILE HOME PARK,N,Municipal Short,Mobile Home Park
360010,TX1870160,GARDEN ACRES SUBDIVISION WATER SYSTEM,N,Municipal Long,Private/IOU
360030,TX1260094,SOUTHERN ACRES WATER SYSTEM,N,Municipal Long,Private/IOU
362000,TX1550029,H & H WSC,N,Municipal Long,Water Supply Corporation
362020,TX0320016,H A B WSC,N,Municipal Long,Water Supply Corporation
362087,TX1700321,WILSHIRE SUBDIVISION,N,Municipal Long,Private/IOU
362089,TX1011803,OAKWOOD VILLAGE MOBILE HOME SUBDIVISION,N,Municipal Short,Mobile Home Park
362090,TX1011861,ROLLING OAKS,N,Municipal Long,Private/IOU
362091,TX1011999,NORTH BELT FOREST,N,Municipal Long,Private/IOU
362092,TX1011510,MARKS GLEN SUBDIVISION,N,Municipal Long,Private/IOU
362094,TX1011536,KITZWOOD SUBDIVISION,N,Municipal Long,Private/IOU
362096,TX1010686,DEER TRAIL MOBILE HOME PARK,N,Municipal Short,Mobile Home Park
362098,TX1011651,CYPRESS FIELDS SUBDIVISION,N,Municipal Long,Private/IOU
362099,TX0930042,WEST MAGNOLIA FOREST,N,Municipal Long,Private/IOU
362100,TX1011860,BERRY HILL ESTATES,N,Municipal Long,Private/IOU
362102,TX1700330,DECKER WOODS SUBDIVISION,N,Municipal Long,Private/IOU
362105,TX1010947,CRICKETT HILL ESTATES,N,Municipal Long,Private/IOU
362107,TX1700393,SHADOW BAY SUBDIVISION,N,Municipal Long,Private/IOU
362108,TX1700437,CLEAR CREEK FOREST SECTION 12,N,Municipal Long,Private/IOU
362110,TX1011865,TASFIELD,N,Municipal Long,Private/IOU
363095,TX0710091,HACIENDAS DEL NORTE WATER IMPROVEMENT DI,N,Municipal Long,District 
363097,TX0360100,HACKBERRY CREEK SUBDIVISION,N,Municipal Long,Private/IOU
364400,TX0950002,CITY OF HALE CENTER,N,Municipal Long,Municipal
364500,TX0950016,HALFWAY WSC,N,Municipal Long,Water Supply Corporation
365200,TX1430001,CITY OF HALLETTSVILLE,N,Municipal Long,Municipal
366000,TX1020004,CITY OF HALLSVILLE,N,Municipal Long,Municipal
366800,TX2200014,CITY OF HALTOM CITY,N,Municipal Long,Municipal
366905,TX2210006,HAMBY WSC,N,Municipal Long,Water Supply Corporation
367600,TX0970001,CITY OF HAMILTON,N,Municipal Long,Municipal
367702,TX0270018,BONANZA BEACH,N,Municipal Long,Authority
367750,TX1270002,CITY OF HAMLIN,N,Municipal Long,Municipal
368463,TX0610166,HANBY ACRES,N,Municipal Long,Private/IOU
368600,TX2190001,HAPPY MUNICIPAL WATER SYSTEM,N,Municipal Long,Municipal
368612,TX0460158,SPRING BRANCH INDIAN HILLS ESTATES WSC,N,Municipal Long,Water Supply Corporation
368645,TX0610045,HARBOR GROVE WSC,N,Municipal Long,Private/IOU
368655,TX2280035,HARBOR POINT,N,Municipal Long,Private/IOU
368700,TX1460009,HARDIN WSC,N,Municipal Long,Water Supply Corporation
368750,TX1000016,HARDIN COUNTY WCID 1,N,Municipal Long,District 
368770,TX0140023,CITY OF HARKER HEIGHTS,N,Municipal Long,Municipal
368780,TX1020074,HARLETON WSC,N,Municipal Long,Water Supply Corporation
368810,TX0310002,HARLINGEN WATER WORKS SYSTEM,N,Municipal Long,Municipal
368860,TX0860005,HARPER ROAD ESTATES,N,Municipal Long,Private/IOU
368900,TX2440002,HARROLD WSC,N,Municipal Long,Water Supply Corporation
369200,TX1010082,HARRIS COUNTY FWSD 1A,N,Municipal Long,District 
369300,TX1010590,HARRIS COUNTY FWSD 1B,N,Municipal Long,District 
369500,TX1010768,HARRIS COUNTY FWSD 6,N,Municipal Long,District 
369900,TX1010261,HARRIS COUNTY FWSD 27,N,Municipal Long,District 
369910,TX1010545,HARRIS COUNTY FWSD 45,N,Municipal Long,District 
369930,TX1010260,HARRIS COUNTY FWSD 47,N,Municipal Long,District 
369956,TX1010238,HARRIS COUNTY FWSD 51,N,Municipal Long,District 
369957,TX1010233,CHAMPIONS MUD,N,Municipal Long,District 
369965,TX1010209,HARRIS COUNTY FWSD 58,N,Municipal Long,District 
369970,TX1010237,HARRIS COUNTY FWSD 61,N,Municipal Long,District 
370001,TX1010539,HARRIS COUNTY MUD 1,N,Municipal Long,District 
370005,TX1010500,HARRIS COUNTY MUD 5,N,Municipal Long,District 
370006,TX1010496,HARRIS COUNTY MUD 6 CARRIAGE LANE,N,Municipal Long,District 
370008,TX1010712,HARRIS COUNTY MUD 8,N,Municipal Long,District 
370011,TX1010426,HARRIS COUNTY MUD 11,N,Municipal Long,District 
370013,TX1010418,CLEAR BROOK CITY MUD,N,Municipal Long,District 
370016,TX1011705,HARRIS COUNTY MUD 16,N,Municipal Long,District 
370018,TX1010512,HARRIS COUNTY MUD 18 HEATHERWOOD HUNTERS,N,Municipal Long,District 
370023,TX1010649,HARRIS COUNTY MUD 23,N,Municipal Long,District 
370024,TX1010572,HARRIS COUNTY MUD 24,N,Municipal Long,District 
370025,TX1010422,HARRIS COUNTY MUD 25 BROOK HOLLOW WEST S,N,Municipal Long,District 
370026,TX1010715,HARRIS COUNTY MUD 26,N,Municipal Long,District 
370033,TX1011162,HARRIS COUNTY MUD 33,N,Municipal Long,District 
370036,TX1012000,HARRIS COUNTY MUD 36,N,Municipal Long,District 
370043,TX1010565,HARRIS COUNTY MUD 43,N,Municipal Long,District 
370044,TX1010718,HARRIS COUNTY MUD 44,N,Municipal Long,District 
370046,TX1010903,HARRIS COUNTY MUD 46,N,Municipal Long,District 
370048,TX1010896,HARRIS COUNTY MUD 48,N,Municipal Long,District 
370049,TX1011462,HARRIS COUNTY MUD 49,N,Municipal Long,District 
370050,TX1010719,HARRIS COUNTY MUD 50,N,Municipal Long,District 
370053,TX1010720,HARRIS COUNTY MUD 53,N,Municipal Long,District 
370055,TX1010678,HARRIS COUNTY MUD 55 HERITAGE PARK,N,Municipal Long,District 
370058,TX1011704,HARRIS COUNTY MUD 58,N,Municipal Long,District 
370061,TX1010721,HARRIS COUNTY MUD 61,N,Municipal Long,District 
370064,TX1011513,HARRIS COUNTY MUD 64,N,Municipal Long,District 
370065,TX1011678,HARRIS COUNTY MUD 65,N,Municipal Long,District 
370069,TX1010600,HARRIS COUNTY MUD 69,N,Municipal Long,District 
370070,TX1011690,HARRIS COUNTY MUD 70,N,Municipal Long,District 
370071,TX1011823,HARRIS COUNTY MUD 71,N,Municipal Long,District 
370081,TX1010581,HARRIS COUNTY MUD 81,N,Municipal Long,District 
370082,TX1010630,HARRIS COUNTY MUD 82,N,Municipal Long,District 
370086,TX1012953,HARRIS COUNTY MUD 86,N,Municipal Long,District 
370096,TX1013343,HARRIS COUNTY MUD 96,N,Municipal Long,District 
370102,TX1010503,HARRIS COUNTY MUD 102,N,Municipal Long,District 
370104,TX1011534,HARRIS COUNTY MUD 104,N,Municipal Long,District 
370105,TX1011227,HARRIS COUNTY MUD 105,N,Municipal Long,District 
370106,TX1013160,HARRIS COUNTY MUD 106,N,Municipal Long,Municipal
370109,TX1010620,HARRIS COUNTY MUD 109,N,Municipal Long,District 
370118,TX1010897,HARRIS COUNTY MUD 118,N,Municipal Long,District 
370119,TX1010626,HARRIS COUNTY MUD 119,N,Municipal Long,District 
370120,TX1010774,HARRIS COUNTY MUD 120,N,Municipal Long,District 
370122,TX1012391,HARRIS COUNTY MUD 122,N,Municipal Long,District 
370127,TX1012229,HARRIS COUNTY MUD 127,N,Municipal Long,District 
370130,TX1012097,HARRIS COUNTY MUD 130,N,Municipal Long,District 
370132,TX1010616,HARRIS COUNTY MUD 132,N,Municipal Long,District 
370136,TX1010599,HARRIS COUNTY MUD 136,N,Municipal Long,District 
370144,TX1010923,HARRIS COUNTY MUD 144,N,Municipal Long,District 
370147,TX1011243,HARRIS COUNTY MUD 147,N,Municipal Long,District 
370148,TX1010938,HARRIS COUNTY MUD 148 KINGSLAKE,N,Municipal Long,District 
370149,TX1011296,HARRIS COUNTY MUD 149,N,Municipal Long,District 
370150,TX1011250,HARRIS COUNTY MUD 150,N,Municipal Long,District 
370151,TX1010905,HARRIS COUNTY MUD 151,N,Municipal Long,District 
370152,TX1010902,HARRIS COUNTY MUD 152,N,Municipal Long,District 
370153,TX1012133,HARRIS COUNTY MUD 153,N,Municipal Long,District 
370154,TX1011642,HARRIS COUNTY MUD 154,N,Municipal Long,District 
370155,TX1012351,HARRIS COUNTY MUD 155,N,Municipal Long,District 
