Year,TWDB Survey No,PWS Name,TWDB Estimated?, Population Served , Single Family Volumes , Single Family Connections , Multi-Family Volumes , Multi-Family Connections , Commercial Volume , Commercial Connections , Industrial Volumes , Industrial Connections , Institutional Volume , Institutional Connections , Agricultural Volumes , Agricultural Connections , Total Metered Volume , Total Metered Connections , Total Un-metered Volume , Total Un-metered Connections 
2023,96800,CITY OF BREMOND,N, 858 ," 22,830,000 ", 440 ," 3,028,000 ", 60 ," 2,318,000 ", 45 ,,," 4,071,000 ", 128 ,,," 32,247,000 ", 673 ,,
2022,97600,CITY OF BRENHAM,N," 18,117 "," 456,593,200 "," 6,546 "," 57,773,500 "," 1,913 "," 143,930,200 ", 952 ," 38,466,000 ", 37 ," 227,040,000 ", 307 ," 41,300 ", 4 ," 925,160,093 "," 9,760 "," 18,144,450 "," 1,192 "
2023,97600,CITY OF BRENHAM,N," 18,549 "," 458,950,100 "," 6,679 "," 63,852,500 "," 1,985 "," 155,095,400 ", 946 ," 42,361,200 ", 46 ," 177,218,300 ", 399 ," 49,000 ", 1 ," 899,245,128 "," 10,057 "," 43,250,800 "," 1,214 "
2022,97750,BRENTWOOD SUBDIVISION,Y, 378 ," 12,588,000 ", 151 ,,,,,,,,,,," 12,588,000 ", 151 ,,
2023,97750,BRENTWOOD SUBDIVISION,Y, 378 ," 12,588,000 ", 151 ,,,,,,,,,,," 12,588,000 ", 151 ,,
2022,97760,VILLAGE OF BRIARCLIFF,N," 1,850 "," 92,931,222 ", 937 ," 1,270,340 ", 60 ," 1,102,151 ", 8 ,,,,,,," 95,303,713 "," 1,005 "," 25,000 ", 2 
2023,97760,VILLAGE OF BRIARCLIFF,N," 1,870 "," 90,381,269 ", 942 ," 1,050,250 ", 60 ," 975,500 ", 8 ,,,,,,," 92,407,019 "," 1,010 "," 18,000 ", 2 
2022,97908,BRIARWOOD HARBOR,N, 102 ," 2,015,000 ", 34 ,,,,,,,,,,," 2,015,000 ", 34 ," 1,586,000 ",
2023,97908,BRIARWOOD HARBOR,N, 102 ," 1,782,000 ", 34 ,,,,,,,,,,," 1,782,000 ", 34 ," 359,000 ",
2022,97950,BRICE LESLEY WSC,N, 100 ," 5,326,470 ", 64 ,,,,,,,,," 7,307,937 ", 59 ," 12,634,407 ", 123 ,,
2023,97950,BRICE LESLEY WSC,N, 100 ," 8,679,894 ", 64 ,,,,,,,,," 3,926,920 ", 60 ," 12,606,814 ", 124 ,,
2022,98000,CITY OF BRIDGE CITY,N," 9,546 "," 303,591,000 "," 3,906 "," 10,044,000 ", 71 ," 46,674,000 ", 299 ," 8,491,000 ", 16 ,,,,," 368,800,000 "," 4,292 "," 6,571,000 ", 158 
2023,98000,CITY OF BRIDGE CITY,N," 9,546 "," 303,360,000 "," 3,923 "," 7,326,000 ", 62 ," 58,789,000 ", 320 ,,," 7,853,000 ", 16 ,,," 377,328,000 "," 4,321 ",,
2022,98060,CITY OF BRIDGEPORT,N," 5,930 "," 118,762,900 "," 1,743 ",,," 78,283,000 ", 346 ," 51,952,900 ", 1 ," 8,682,700 ", 17 ,,," 257,681,500 "," 2,107 "," 21,681,055 ", 271 
2023,98060,CITY OF BRIDGEPORT,N," 6,521 "," 116,783,700 "," 1,758 ",,," 70,810,800 ", 357 ," 51,069,100 ", 1 ," 7,558,200 ", 17 ,,," 246,221,800 "," 2,133 "," 29,928,540 ", 271 
2022,98065,BRIDGESTONE MUD,N," 24,528 "," 498,683,500 "," 5,876 "," 65,351,000 "," 1,857 "," 178,919,000 ", 376 ,,," 29,066,000 ", 67 ,,," 798,579,500 "," 8,176 "," 19,024,040 ",
2023,98065,BRIDGESTONE MUD,N," 24,570 "," 484,350,000 "," 5,876 "," 51,503,000 "," 1,850 "," 189,109,000 ", 409 ,,," 27,846,000 ", 55 ,,," 779,368,000 "," 8,190 "," 10,113,010 ",
2022,98075,BRIDLEWOOD ESTATES WATER SYSTEM,N," 1,266 "," 80,679,000 ", 422 ,,,,,,,,,,," 80,679,000 ", 422 ,,
2023,98075,BRIDLEWOOD ESTATES WATER SYSTEM,N," 1,314 "," 83,540,000 ", 438 ,,,,,,,,,,," 83,540,000 ", 438 ,,
2022,98100,BRIGHT STAR-SALEM SUD,N," 8,000 "," 121,107,100 "," 2,218 "," 16,582,500 ", 38 ," 3,035,900 ", 15 ,, 2 ," 1,101,200 ", 23 ," 1,470,500 ", 4 ," 143,297,200 "," 2,300 ",,
2023,98100,BRIGHT STAR-SALEM SUD,N," 8,250 "," 111,959,000 "," 2,490 "," 17,829,500 ", 43 ," 3,364,500 ", 26 ," 48,900 ", 4 ," 1,121,200 ", 24 ," 895,500 ", 4 ," 136,715,200 "," 2,592 ",,
2022,98150,BRINKER WSC,N," 3,143 "," 89,125,900 ", 983 ,,," 1,864,300 ", 23 ,,," 402,500 ", 10 ," 5,768,000 ", 21 ," 97,160,700 "," 1,037 "," 366,150 ",
2023,98150,BRINKER WSC,N," 3,216 "," 86,597,700 "," 1,004 ",,," 1,721,900 ", 23 ,,," 501,300 ", 10 ," 5,194,700 ", 21 ," 94,015,600 "," 1,058 "," 350,000 ",
2022,98220,BRITTMOORE UTILITY,Y," 1,548 ",, 516 ,,,, 329 ,,,,,,,, 845 ," 62,000 ",
2023,98220,BRITTMOORE UTILITY,Y," 1,548 ",, 516 ,,,, 329 ,,,,,,,, 845 ," 62,000 ",
2022,98225,BRITTANY HILL WATER ASSOCIATION,N, 185 ," 3,233,000 ", 63 ,,,,,,,,,,," 3,233,000 ", 63 ,,
2023,98225,BRITTANY HILL WATER ASSOCIATION,N, 189 ," 3,508,130 ", 63 ,,,,,,,,,,," 3,508,130 ", 63 ," 1,400 ", 1 
2022,98250,CITY OF BROADDUS,N, 240 ," 4,418,155 ", 142 ,, 7 ," 759,697 ", 27 ,,," 1,003,110 ", 12 ,,," 6,180,962 ", 188 ," 9,871,890 ", 19 
2023,98250,CITY OF BROADDUS,N, 221 ," 4,380,764 ", 151 ,, 5 ," 742,546 ", 28 ,,," 1,106,766 ", 14 ,,," 6,230,076 ", 198 ," 7,334,624 ", 19 
2022,98305,CITY OF BRONTE,N, 933 ," 30,735,000 ", 487 ," 1,739,000 ", 33 ," 1,389,000 ", 40 ,,," 3,774,000 ", 10 ," 7,937,000 ", 29 ," 45,574,000 ", 599 ," 20,820,000 ", 3 
2023,98305,CITY OF BRONTE,N, 933 ," 37,165,104 ", 492 ," 1,996,000 ", 33 ," 995,000 ", 38 ,,," 1,943,000 ", 10 ," 5,937,137 ", 29 ," 48,036,241 ", 602 ," 16,137,000 ", 3 
2022,98350,BROOKELAND FWSD,Y," 1,527 "," 21,761,910 ", 509 ,,," 4,478,530 ", 24 ,,,,,,," 26,240,440 ", 533 ,,
2023,98350,BROOKELAND FWSD,Y," 1,527 "," 21,761,910 ", 509 ,,," 4,478,530 ", 24 ,,,,,,," 26,240,440 ", 533 ,,
2022,98360,BROOKESMITH SPECIAL UTILITY DISTRICT,N," 12,564 "," 269,479,500 "," 3,983 "," 3,554,000 ", 4 ," 11,839,100 ", 62 ," 197,700 ", 4 ," 11,268,400 ", 22 ," 46,660,000 ", 113 ," 342,998,700 "," 4,188 "," 44,217,352 ", 5 
2023,98360,BROOKESMITH SPECIAL UTILITY DISTRICT,N," 12,762 "," 245,264,800 "," 4,011 "," 830,900 ", 4 ," 13,091,500 ", 91 ," 68,500 ", 6 ," 10,427,200 ", 23 ," 4,564,400 ", 119 ," 274,247,300 "," 4,254 "," 76,276,290 ", 5 
2022,98398,BROOKSHIRES CAMP JOY WATER SYSTEM,Y, 318 ," 5,012,000 ", 106 ,,,,,,,,,,," 5,012,000 ", 106 ," 2,158,900 ",
2023,98398,BROOKSHIRES CAMP JOY WATER SYSTEM,N, 321 ," 6,810 ", 107 ,,,,,,,,,,," 6,810 ", 107 , 50 ,
2022,98400,BROOKSHIRE MWD,N," 5,568 "," 113,126,424 "," 1,358 "," 18,877,800 ", 178 ," 44,577,759 ", 201 ,,," 4,980,805 ", 51 ," 7,102,966 ", 68 ," 188,665,754 "," 1,856 ",,
2023,98400,BROOKSHIRE MWD,N," 8,604 "," 84,920,068 "," 1,452 "," 1,024,200 "," 1,099 "," 51,261,627 ", 201 ,,," 1,968,200 ", 39 ," 8,905,046 ", 77 ," 148,079,141 "," 2,868 "," 12,000,000 ",
2022,99155,CITY OF BROWNDELL,N, 306 ," 6,982,505 ", 102 ,,," 787,600 ", 3 ,,,,,,," 7,770,105 ", 105 ," 65,000 ", 2 
2023,99155,CITY OF BROWNDELL,N, 308 ," 8,426,500 ", 107 ,,," 175,000 ", 2 ,,,,,,," 8,601,500 ", 109 ," 55,000 ", 2 
2022,99200,CITY OF BROWNFIELD,N," 9,800 "," 280,938,700 "," 2,940 ",,," 82,634,100 ", 435 ,,," 2,204,280 ", 76 ,,," 365,777,080 "," 3,451 ",,
2023,99200,CITY OF BROWNFIELD,N," 9,800 "," 263,688,400 "," 2,946 ",,," 77,342,100 ", 441 ,,," 13,632,800 ", 73 ,,," 354,663,300 "," 3,460 "," 3,702,500 ", 1 
2022,100000,CITY OF BROWNSBORO,N," 1,212 "," 43,124,000 ", 381 ," 5,189,000 ", 1 ," 4,896,000 ", 22 ,,," 2,773,000 ", 18 ,,," 55,982,000 ", 422 ,,
2023,100000,CITY OF BROWNSBORO,N," 1,458 "," 40,892,030 ", 367 ," 5,622,890 ", 43 ," 3,993,604 ", 33 ,,," 7,884,275 ", 15 ,,," 58,392,799 ", 458 ,,
2022,100400,BROWNSVILLE PUBLIC UTILITIES BOARD,N," 198,069 "," 3,629,124,000 "," 49,452 "," 490,401,000 "," 11,348 "," 1,812,205,000 "," 4,393 "," 112,898,000 ", 4 ," 269,047,000 ", 396 ,,," 6,313,675,000 "," 65,593 "," 26,118,000 ", 430 
2023,100400,BROWNSVILLE PUBLIC UTILITIES BOARD,N," 200,457 "," 3,655,864,000 "," 50,152 "," 476,523,000 "," 11,341 "," 1,903,403,000 "," 4,379 "," 117,593,000 ", 4 ," 294,673,000 ", 395 ,,," 6,448,056,000 "," 66,271 "," 17,548,000 ", 548 
2022,100600,CITY OF BROWNWOOD,N," 18,770 "," 589,192,120 "," 6,209 "," 92,520,868 ", 166 ," 316,300,776 "," 1,045 "," 130,759,376 ", 10 ," 59,399,428 ", 83 ,,," 1,188,172,568 "," 7,513 ",,
2023,100600,CITY OF BROWNWOOD,N," 18,862 "," 530,326,764 "," 6,215 "," 90,213,288 "," 1,792 "," 320,633,940 "," 1,056 "," 114,945,160 ", 10 ," 54,656,360 ", 73 ,,," 1,110,775,512 "," 9,146 ",,
2022,101600,BRUNI RURAL WSC,Y, 350 ," 10,853,330 ", 189 ,,," 2,018,470 ", 28 ,,,,,,," 12,871,800 ", 217 ," 2,168,062 ",
2023,101600,BRUNI RURAL WSC,Y, 350 ," 10,853,330 ", 189 ,,," 2,018,470 ", 28 ,,,,,,," 12,871,800 ", 217 ," 2,168,062 ",
2022,101620,BRUNDAGE WATER SYSTEM,N, 60 ," 6,433,390 ", 30 ,,,,,,,,,,," 6,433,390 ", 30 ,,
2023,101620,BRUNDAGE WATER SYSTEM,N, 60 ," 3,709,020 ", 30 ,,,,,,,,,,," 3,709,020 ", 30 ,,
2022,101950,BRUSHY CREEK WSC,N," 4,724 "," 98,167,800 "," 1,596 ",,," 230,000 ", 1 ,,,,,,," 98,397,800 "," 1,597 "," 21,377,800 ", 135 
2023,101950,BRUSHY CREEK WSC,N," 4,830 "," 95,775,900 "," 1,631 ",,," 306,400 ", 1 ,,,,,,," 96,082,300 "," 1,632 "," 20,294,700 ", 135 
2022,101960,BRUSHY CREEK UTILITY,Y, 381 ," 15,096,000 ", 127 ,,,,,,,,,,," 15,096,000 ", 127 ,,
2023,101960,BRUSHY CREEK UTILITY,Y, 381 ," 15,096,000 ", 127 ,,,,,,,,,,," 15,096,000 ", 127 ,,
2022,102400,CITY OF BRYAN,N," 86,518 "," 2,144,379,000 "," 22,477 ",,," 1,807,307,900 "," 3,313 "," 156,860,200 ", 28 ," 131,413,900 ", 109 ," 16,394,400 ", 4 ," 4,256,355,400 "," 25,931 "," 61,007,504 ",
2023,102400,CITY OF BRYAN,N," 87,816 "," 2,192,948,000 "," 23,033 ",,," 1,749,813,700 "," 3,214 "," 130,723,000 ", 33 ," 141,506,500 ", 111 ," 14,146,600 ", 6 ," 4,229,137,800 "," 26,397 "," 51,484,932 ",
2022,103200,CITY OF BRYSON,N, 594 ," 5,679,000 ", 197 ," 1,680,800 ", 3 ," 742,300 ", 13 ," 83,900 ", 1 ," 802,000 ", 6 ,,," 8,988,000 ", 220 ," 1,000,000 ", 1 
2023,103200,CITY OF BRYSON,N, 645 ," 7,157,700 ", 218 ," 1,808,900 ", 3 ," 766,500 ", 12 ," 89,700 ", 1 ," 1,194,100 ", 6 ,,," 11,016,900 ", 240 ,,
2022,104300,BUCHANAN LAKE VILLAGE,Y, 681 ," 11,488,650 ", 229 ,,,,,,,,,,," 11,488,650 ", 229 ,,
2023,104300,BUCHANAN LAKE VILLAGE,Y, 681 ," 11,488,650 ", 229 ,,,,,,,,,,," 11,488,650 ", 229 ,,
2023,104500,BUCKEYE KNOLL,N, 65 ," 25,000 ", 20 ," 63,000 ", 45 ,,,,,,,,," 88,000 ", 65 ,,
2022,104600,CITY OF BUCKHOLTS,Administratively Incomplete, 515 ,,,,,,,,,,,,,,,,
2023,104600,CITY OF BUCKHOLTS,Y, 515 ,,,,,,,,,,,,,,,,
2022,105600,CITY OF BUDA,N," 13,622 "," 338,388,000 "," 3,765 "," 13,464,000 ", 981 ," 121,980,000 ", 309 ,,," 36,401,000 ", 77 ,,," 515,536,708 "," 5,139 "," 7,420,000 ",
2023,105600,CITY OF BUDA,N," 13,675 "," 314,877,000 "," 3,815 "," 13,371,000 ", 981 ," 131,802,000 ", 294 ,,," 33,360,000 ", 78 ,,," 496,172,000 "," 5,175 "," 8,240,000 ",
2022,106000,BUENA VISTA BETHEL SUD,N," 6,792 "," 435,399,140 "," 2,426 ",,," 6,541,750 ", 5 ," 1,123,500 ", 1 ," 378,910 ", 5 ,,," 443,443,300 "," 2,437 ",,
2023,106000,BUENA VISTA BETHEL SUD,N," 6,890 "," 429,951,990 "," 2,487 ",,," 6,300,810 ", 5 ," 871,700 ", 1 ," 484,500 ", 5 ,,," 437,609,000 "," 2,498 ",,
2022,106050,BUENA VISTA WS BURNET,N, 381 ," 5,627,200 ", 127 ,,,,,,,,,,," 5,627,200 ", 127 ,,
2023,106050,BUENA VISTA WS BURNET,Y, 381 ," 5,627,200 ", 127 ,,,,,,,,,,," 5,627,200 ", 127 ,,
2022,106400,CITY OF BUFFALO,N," 2,235 "," 90,776,605 ", 894 ," 47,928,834 ", 727 ," 1,803,600 ", 121 ," 25,161,000 ", 3 ," 1,876,500 ", 32 ,,," 169,291,190 "," 1,778 ",,
2023,106400,CITY OF BUFFALO,N," 2,820 "," 68,213,070 ", 894 ," 35,369,740 ", 727 ," 1,263,205 ", 149 ," 18,948,075 ", 3 ," 1,263,205 ", 32 ,,," 126,320,500 "," 1,806 ",,
2022,106410,CITY OF BUFFALO GAP,N, 588 ," 32,098,400 ", 545 ,,," 996,390 ", 18 ,,," 665,310 ", 23 ,,," 33,760,100 ", 586 ,,
2023,106410,CITY OF BUFFALO GAP,N, 588 ," 28,581,700 ", 545 ,,," 996,390 ", 18 ,,," 665,310 ", 23 ,,," 30,243,400 ", 586 ,,
2022,106450,BUFFALO HILLS WATER SYSTEM,Y, 420 ," 12,038,200 ", 168 ,,,,,,,,,,," 12,038,200 ", 168 ,,
2023,106450,BUFFALO HILLS WATER SYSTEM,Y, 420 ," 12,038,200 ", 168 ,,,,,,,,,,," 12,038,200 ", 168 ,,
2022,106900,CITY OF BULLARD,N," 4,263 ",," 1,711 ",, 3 ,, 90 ,, 1 ,, 49 ,,,," 1,854 "," 747,000 ", 30 
2023,106900,CITY OF BULLARD,N," 4,452 "," 168,252,000 "," 1,791 "," 4,325,000 ", 3 ," 42,631,014 ", 88 ," 10,774,000 ", 1 ," 19,341,000 ", 49 ,,," 245,323,014 "," 1,932 "," 10,650,000 ", 30 
2022,107200,JASPER COUNTY WCID 1,N," 3,450 "," 54,853,700 ", 866 ,, 60 ,, 10 ,,,,,,," 54,853,700 ", 936 ,,
2023,107200,JASPER COUNTY WCID 1,N," 3,150 "," 55,818,000 ", 869 ,, 57 ,, 10 ,,,,,,," 55,818,000 ", 936 ,,
2022,107700,BUENA VISTA WSC,Y, 651 ,,,,,,,,,,,,,,,,
2023,107700,BUENA VISTA WSC,Y, 651 ,,,,,,,,,,,,,,,,
2022,108000,CITY OF BUNKER HILL VILLAGE,N," 3,879 "," 343,619,000 "," 1,414 ",,,,,,," 13,878,000 ", 18 ,,," 357,497,000 "," 1,432 "," 7,250,000 ", 2 
2023,108000,CITY OF BUNKER HILL VILLAGE,N," 3,822 "," 390,416,000 "," 1,294 ",,,,,,," 14,752,000 ", 18 ,,," 405,168,000 "," 1,312 "," 821,000 ", 2 
2022,109600,CITY OF BURKBURNETT,N," 10,987 "," 284,791,000 "," 4,125 "," 18,152,000 ", 453 ," 19,720,000 ", 204 ," 1,898,000 ", 3 ," 17,934,000 ", 119 ," 1,923,000 ", 4 ," 355,152,000 "," 4,966 ",,
2023,109600,CITY OF BURKBURNETT,N," 10,987 "," 205,548,100 "," 4,326 "," 14,330,800 ", 407 ," 22,776,500 ", 238 ," 1,898,000 ", 3 ," 19,820,600 ", 125 ," 2,096,700 ", 3 ," 274,924,188 "," 5,168 ",,
2022,109800,BURKEVILLE WSC,N, 864 ," 10,252,857 ", 254 ," 201,080 ", 2 ," 1,221,840 ", 7 ,,," 1,963,290 ", 21 ," 189,140 ", 4 ," 13,828,207 ", 288 ," 158,000 ", 2 
2023,109800,BURKEVILLE WSC,N, 867 ," 11,278,599 ", 223 ," 116,440 ", 2 ," 165,420 ", 7 ,,," 1,974,070 ", 18 ," 405,139 ", 6 ," 13,939,668 ", 256 ," 139,570 ", 2 
2022,109925,BURNS REDBANK WSC,N," 2,241 "," 42,240,700 ", 739 ,,,,," 1,265,700 ", 1 ," 613,700 ", 8 ,,," 44,120,100 ", 748 ," 320,500 ", 42 
2023,109925,BURNS REDBANK WSC,N," 2,277 "," 41,363,800 ", 750 ,,,,," 1,645,000 ", 1 ," 634,900 ", 8 ,,," 43,643,700 ", 759 ," 320,500 ", 42 
2022,112000,CITY OF BURLESON,N," 57,627 "," 1,347,035,300 "," 14,585 "," 129,764,100 "," 3,285 "," 382,886,800 "," 1,166 "," 8,850,800 ", 16 ,,,,," 1,868,537,000 "," 19,052 "," 7,684,100 ",
2023,112000,CITY OF BURLESON,N," 58,263 "," 1,347,340,100 "," 14,724 "," 162,000,400 ", 167 ," 366,231,600 "," 1,178 "," 7,689,100 ", 16 ,,,,," 1,891,540,500 "," 16,085 ",,
2022,112050,BURLESON COUNTY MUD 1,N," 1,029 "," 18,421,680 ", 343 ,,,,,,,,,,," 18,421,680 ", 343 ,,
2023,112050,BURLESON COUNTY MUD 1,N," 1,185 "," 24,693,178 ", 395 ,,,,,,,,,,," 24,693,178 ", 395 ,,
2022,113600,CITY OF BURNET,N," 8,346 "," 215,264,889 "," 2,317 "," 6,561,446 ", 14 ," 88,511,670 ", 397 ," 37,598,900 ", 3 ," 14,398,475 ", 51 ,,," 362,335,380 "," 2,782 "," 5,000,000 ",
2023,113600,CITY OF BURNET,N," 9,654 "," 216,171,285 "," 2,374 "," 6,561,446 ", 14 ," 88,511,670 ", 397 ," 37,498,900 ", 3 ," 14,298,475 ", 51 ,,," 363,041,776 "," 2,839 "," 17,500,000 ",
2022,113625,AUSTIN AQUA SYSTEM,Y, 201 ," 5,173,240 ", 63 ,,," 597,620 ", 4 ,,,,,,," 5,770,860 ", 67 ," 50,000 ", 3 
2023,113625,AUSTIN AQUA SYSTEM,Y, 201 ," 5,173,240 ", 63 ,,," 597,620 ", 4 ,,,,,,," 5,770,860 ", 67 ," 50,000 ", 3 
2022,115100,CITY OF BURTON,N, 281 ," 10,176,970 ", 191 ," 21,520 ", 1 ," 951,830 ", 23 ,,," 1,119,400 ", 11 ," 35,600 ", 2 ," 12,305,320 ", 228 ," 180,000 ", 25 
2023,115100,CITY OF BURTON,N, 281 ," 5,303,340 ", 192 ," 20,410 ", 1 ," 793,030 ", 24 ,,," 854,400 ", 13 ," 31,600 ", 2 ," 7,002,780 ", 232 ," 1,296,700 ", 6 
2022,115300,BUSHLAND WSC,N, 200 ," 7,033,540 ", 73 ,,," 2,914,160 ", 9 ,,," 500,320 ", 4 ," 225,390 ", 1 ," 10,673,410 ", 87 ,, 14 
2023,115300,BUSHLAND WSC,N, 250 ," 27,032,030 ", 76 ,,," 9,772,370 ", 10 ,,," 10,303,540 ", 4 ," 236,720 ", 1 ," 47,344,660 ", 91 ,,
2022,115350,BUTLER WSC,N," 2,258 "," 35,248,300 ", 645 ,,,,,,,,,,," 35,248,300 ", 645 ," 2,348,800 ", 46 
2023,115350,BUTLER WSC,N," 2,254 "," 30,410,800 ", 644 ,,,,,,,,,,," 30,410,800 ", 644 ," 5,100,950 ", 46 
2022,116000,CITY OF BYNUM BLACKLAND SYSTEM,N, 199 ," 4,934,700 ", 89 ," 126,500 ", 3 ," 103,500 ", 4 ,,," 722,500 ", 4 ," 20,800 ", 2 ," 5,908,000 ", 102 ," 60,000 ", 5 
2023,116000,CITY OF BYNUM BLACKLAND SYSTEM,N, 276 ," 4,342,700 ", 97 ," 153,000 ", 2 ," 78,100 ", 3 ,,," 1,016,600 ", 4 ," 61,500 ", 1 ," 5,651,900 ", 167 ," 60,000 ", 5 
2022,116250,CITY OF BYERS,Y, 496 ," 10,458,800 ", 233 ,,," 197,100 ", 12 ,,,,,,," 10,655,900 ", 245 ," 2,000,000 ", 50 
2023,116250,CITY OF BYERS,Y, 496 ," 10,458,800 ", 233 ,,," 197,100 ", 12 ,,,,,,," 10,655,900 ", 245 ," 2,000,000 ", 50 
2022,127025,CITY OF CACTUS,N," 3,050 "," 65,634,000 ", 724 ," 29,088,000 ", 75 ," 35,802,000 ", 75 ," 952,810,273 ", 1 ," 711,000 ", 13 ," 638,000 ", 9 ," 1,084,683,273 ", 897 ," 151,709,727 ", 13 
2023,127025,CITY OF CACTUS,N," 3,600 "," 68,998,010 ", 731 ," 31,869,000 ", 75 ," 17,260,000 ", 70 ," 1,011,838,725 ", 1 ," 20,000 ", 2 ," 466,000 ", 9 ," 1,130,451,735 ", 888 ,,
2022,127051,RED CREEK MUD,Y, 990 ," 15,670,800 ", 329 ,,," 3,000 ", 1 ,,,,,,," 15,673,800 ", 330 ," 250,000 ", 1 
2023,127051,RED CREEK MUD,N, 990 ," 16,410,985 ", 332 ,,," 3,000 ", 1 ,,,,,,," 16,413,985 ", 333 ," 250,000 ", 1 
2022,127131,CANYON RIDGE SPRINGS,Y, 99 ," 2,470,000 ", 33 ,,,,,,,,,,," 2,470,000 ", 33 ," 377,000 ",
2023,127131,CANYON RIDGE SPRINGS,Y, 99 ," 2,470,000 ", 33 ,,,,,,,,,,," 2,470,000 ", 33 ," 377,000 ",
2022,127420,CADDO LAKE WSC,N," 1,228 "," 17,008,280 ", 408 ,,,,,,,,,,," 17,008,280 ", 408 ," 3,619,920 ", 13 
2023,127420,CADDO LAKE WSC,N," 1,239 "," 17,175,510 ", 413 ,,,,,,,,,,," 17,175,510 ", 413 ," 12,010,825 ", 13 
2022,127500,CITY OF CADDO MILLS,N," 4,681 "," 81,098,300 "," 1,625 ",,,,,,,,,,," 81,098,300 "," 1,625 "," 12,015,707 ", 14 
2023,127500,CITY OF CADDO MILLS,N," 4,700 "," 81,098,500 "," 1,650 ",,,,,,,,,,," 81,098,500 "," 1,650 "," 8,109,850 ", 14 
2022,127570,CADDO VILLAGE,N," 1,428 "," 32,635,000 ", 476 ,,,,,,,,,,," 32,635,000 ", 476 ,,
2023,127570,CADDO VILLAGE,N," 1,398 "," 34,242,000 ", 466 ,,,,,,,,,,," 34,242,000 ", 466 ,,
2022,127575,CADE LAKES WSC,N, 573 ," 10,283,180 ", 191 ,,,,,,,,,,," 10,283,180 ", 191 ," 12,208,444 ", 1 
2023,127575,CADE LAKES WSC,N, 696 ," 10,812,780 ", 232 ,,,,,,,,,,," 10,812,780 ", 232 ," 11,588,324 ", 1 
2022,127600,CADILLAC WATER,N, 124 ," 20,236,200 ", 62 ,,,,,,,,,,," 20,236,200 ", 62 ,,
2023,127600,CADILLAC WATER,N, 124 ," 18,415,000 ", 62 ,,,,,,,,,,," 18,415,000 ", 62 ,,
2022,127675,CAHILL COUNTRY WATER SYSTEM,Y, 75 ," 3,596,200 ", 30 ,,,,,,,,,,," 3,596,200 ", 30 ,,
2023,127675,CAHILL COUNTRY WATER SYSTEM,Y, 75 ," 3,596,200 ", 30 ,,,,,,,,,,," 3,596,200 ", 30 ,,
2022,128200,CITY OF CALDWELL,N," 3,995 "," 130,292,000 "," 1,649 "," 12,811,000 ", 51 ," 60,375,000 ", 382 ," 13,136,594 ", 21 ,,,,," 216,614,594 "," 2,103 "," 700,000 ", 520 
2023,128200,CITY OF CALDWELL,N," 4,260 "," 137,477,000 "," 1,682 "," 3,496,000 ", 22 ," 68,817,000 ", 423 ," 8,299,000 ", 16 ,,,,," 218,089,000 "," 2,143 "," 250,000 ", 500 
2022,128260,GBRA CALHOUN COUNTY RURAL WATER SYSTEM,N," 4,746 "," 55,500,000 "," 1,342 "," 4,000,000 ", 121 ," 11,050,000 ", 54 ," 250,000 ", 2 ," 2,000,000 ", 12 ," 2,500,000 ", 3 ," 75,300,000 "," 1,534 "," 1,000,000 ", 39 
2023,128260,GBRA CALHOUN COUNTY RURAL WATER SYSTEM,N," 4,758 "," 76,563,000 "," 1,394 "," 4,000,000 ", 121 ," 11,050,000 ", 54 ," 250,000 ", 2 ," 2,000,000 ", 12 ," 2,500,000 ", 3 ," 96,363,000 "," 1,586 ",, 39 
2022,129000,SEVEN OAKS WATER SUPPLY,N, 205 ," 3,965,400 ", 60 ,,,,,,,,,,," 3,965,400 ", 60 ,,
2023,129000,SEVEN OAKS WATER SUPPLY,N, 163 ," 3,708,000 ", 59 ,,,,,,,,,,," 3,708,000 ", 59 ,,
2022,129450,MCMULLEN COUNTY WCID 2,N, 300 ," 3,521,872 ", 83 ,,," 579,540 ", 19 ,,,,,,," 4,101,412 ", 102 ," 979,424 ", 12 
2023,129450,MCMULLEN COUNTY WCID 2,N, 300 ," 3,615,986 ", 83 ,,," 429,657 ", 19 ,,,,,,," 4,045,643 ", 102 ," 749,628 ", 12 
2022,129600,CITY OF CALLISBURG,N," 1,500 "," 47,943,440 ", 743 ,,,,,,,,,,," 47,943,440 ", 743 ," 1,285,900 ",
2023,129600,CITY OF CALLISBURG,N," 1,650 "," 49,236,520 ", 767 ,,,,,,,,,,," 49,236,520 ", 767 ," 2,223,612 ",
2022,129800,CITY OF CALVERT,N," 1,247 "," 30,693,628 ", 473 ," 547,400 ", 3 ," 3,374,352 ", 52 ,,," 650,600 ", 11 ," 98,620 ", 3 ," 35,364,600 ", 542 ,,
2023,129800,CITY OF CALVERT,Y," 1,247 "," 30,693,628 ", 473 ," 547,400 ", 3 ," 3,374,352 ", 52 ,,," 650,600 ", 11 ," 98,620 ", 3 ," 35,364,600 ", 542 ,,
2022,130690,CITY OF CAMERON,N," 5,352 "," 167,040,400 "," 1,748 "," 5,443,000 ", 30 ," 81,624,300 ", 240 ," 4,594,700 ", 9 ," 13,013,000 ", 21 ,,," 271,715,400 "," 2,048 "," 12,000,000 ", 7 
